"Julian Date","Event Date","Event Time","Altitude","Wind Direction","Wind Speed","Wind Shear","Temperature","Dew Point","Pressure","Relative Humidity","AbsoluteHumidity","Density","IndexOfRefraction","VelocityOfSound","SaturationVaporPressure","PrecipitableWater"
"15061","03/02/2015","00:50:00","1000","122","14.4","0.022","20.9","18.8","991.29","88","16.00","1164.69","355","671","21.71","5"
"15061","03/02/2015","00:50:00","2000","137","11.2","0.008","19.0","17.4","957.03","91","14.79","1132.22","341","669","19.94","10"
"15061","03/02/2015","00:50:00","3000","139","9.6","0.003","16.9","16.0","923.74","95","13.61","1101.21","328","666","18.22","14"
"15061","03/02/2015","00:50:00","4000","159","7.3","0.006","16.6","13.7","891.48","83","11.74","1064.71","309","666","15.70","18"
"15061","03/02/2015","00:50:00","5000","162","4.5","0.005","15.0","11.0","860.20","77","9.90","1033.96","291","664","13.17","21"
"15061","03/02/2015","00:50:00","6000","132","6.9","0.006","12.8","10.2","829.80","84","9.46","1005.21","282","661","12.48","24"
"15061","03/02/2015","00:50:00","7000","126","4.6","0.004","11.1","8.2","800.28","82","8.28","975.78","269","659","10.87","27"
"15061","03/02/2015","00:50:00","8000","115","0.6","0.007","9.2","5.2","771.61","76","6.80","947.92","254","656","8.86","29"
"15061","03/02/2015","00:50:00","9000","198","2.0","0.003","7.0","5.6","743.76","91","7.04","920.61","249","654","9.10","32"
"15061","03/02/2015","00:50:00","10000","195","5.2","0.005","5.7","4.0","716.74","89","6.33","891.60","239","652","8.14","34"
"15061","03/02/2015","00:50:00","11000","232","5.1","0.006","3.6","2.3","690.54","91","5.64","865.84","229","650","7.21","35"
"15061","03/02/2015","00:50:00","12000","266","8.6","0.009","1.8","-1.6","665.14","78","4.29","840.16","215","647","5.45","37"
"15061","03/02/2015","00:50:00","13000","242","13.6","0.011","0.2","-2.6","640.49","81","3.99","813.87","207","645","5.03","38"
"15061","03/02/2015","00:50:00","14000","241","11.4","0.004","-1.5","-4.3","616.61","81","3.53","788.62","199","643","4.43","39"
"15061","03/02/2015","00:50:00","15000","278","14.2","0.015","-1.9","-22.5","593.52","19","0.80","761.80","175","642","1.00","40"
"15061","03/02/2015","00:50:00","16000","277","15.0","0.002","-3.2","-39.6","571.20","4","0.15","737.05","165","640","0.19","40"
"15061","03/02/2015","00:50:00","17000","278","12.1","0.005","-5.8","-33.4","549.56","9","0.29","715.95","161","637","0.36","40"
"15061","03/02/2015","00:50:00","18000","274","10.9","0.002","-8.4","-34.0","528.55","11","0.28","695.34","157","634","0.34","40"
"15061","03/02/2015","00:50:00","19000","260","7.5","0.007","-9.4","-42.5","508.19","5","0.12","671.19","150","633","0.14","40"
"15061","03/02/2015","00:50:00","20000","265","10.8","0.006","-11.0","-50.8","488.54","2","0.05","649.21","145","631","0.06","40"
"15061","03/02/2015","00:50:00","21000","265","12.5","0.003","-13.4","-50.3","469.51","3","0.05","629.68","141","628","0.06","40"
"15061","03/02/2015","00:50:00","22000","275","14.2","0.005","-15.6","-49.4","451.06","4","0.05","610.10","136","626","0.07","40"
"15061","03/02/2015","00:50:00","23000","276","20.0","0.010","-17.7","-50.7","433.19","4","0.05","590.75","132","623","0.06","40"
"15061","03/02/2015","00:50:00","24000","285","21.8","0.006","-19.8","-55.1","415.88","3","0.03","571.86","128","620","0.03","40"
"15061","03/02/2015","00:50:00","25000","286","25.7","0.007","-22.0","-34.8","399.14","30","0.27","553.50","125","618","0.31","40"
"15061","03/02/2015","00:50:00","26000","294","32.3","0.013","-24.7","-27.1","382.93","80","0.58","536.60","124","615","0.66","40"
"15061","03/02/2015","00:50:00","27000","294","37.9","0.009","-25.9","-35.2","367.23","41","0.26","517.28","117","613","0.30","41"
"15061","03/02/2015","00:50:00","28000","300","36.2","0.007","-28.1","-48.8","352.10","12","0.06","500.53","112","610","0.07","41"
"15061","03/02/2015","00:50:00","29000","305","39.4","0.008","-30.9","-48.1","337.43","17","0.07","485.22","109","607","0.08","41"
"15061","03/02/2015","00:50:00","30000","303","48.2","0.015","-32.3","-43.8","323.27","30","0.11","467.52","105","605","0.12","41"
"15061","03/02/2015","00:50:00","31000","299","54.7","0.013","-34.8","-44.2","309.59","38","0.11","452.44","102","602","0.12","41"
"15061","03/02/2015","00:50:00","32000","298","58.5","0.007","-37.2","-43.9","296.36","49","0.11","437.50","98","599","0.12","41"
"15061","03/02/2015","00:50:00","33000","301","60.0","0.006","-39.7","-50.0","283.56","32","0.06","423.13","95","596","0.06","41"
"15061","03/02/2015","00:50:00","34000","300","61.0","0.002","-42.2","-56.3","271.19","19","0.03","409.07","91","592","0.03","41"
"15061","03/02/2015","00:50:00","35000","298","65.3","0.009","-44.9","-55.3","259.23","30","0.03","395.64","88","589","0.03","41"
"15061","03/02/2015","00:50:00","36000","298","64.4","0.002","-47.6","-57.4","247.67","31","0.02","382.53","85","585","0.02","41"
"15061","03/02/2015","00:50:00","37000","293","66.1","0.010","-49.9","-59.7","236.49","30","0.02","369.04","82","582","0.02","41"
"15061","03/02/2015","00:50:00","38000","293","68.2","0.004","-52.4","-62.9","225.72","26","0.01","356.22","79","579","0.01","41"
"15061","03/02/2015","00:50:00","39000","293","69.8","0.003","-55.0","-63.1","215.32","35","0.01","343.85","77","576","0.01","41"
