"Event Date","Event Time","Tower Measurement Location","Height","Time Interval","Avg Wind Direction","Avg Wind Speed","Peak Wind Direction","Peak Wind Speed","Peak Wind Direction 10 Min","Peak Wind Speed 10 Min","Deviation","Temp","Temperature Difference","Dew Point","Relative Humidity","Barometric Pressure"
"04/13/2015","19:30:00","0002 NW  SE","6","5","","","","","","","","82.8","","73.6","74",""
"04/13/2015","19:30:00","0002 NW  SE","12","5","148","8","145","13","145","14","14","","","","",""
"04/13/2015","19:30:00","0002 NW  SE","54","5","149","12","135","17","135","17","11","80.0","-2.8","72.1","77",""
"04/13/2015","19:30:00","0002 NW  SE","90","5","148","13","146","18","144","19","10","","","","",""
"04/13/2015","19:30:00","0002 NW  SE","145","5","145","15","140","18","138","19","8","","","","",""
"04/13/2015","19:30:00","0002 NW  SE","204","5","152","17","152","20","152","20","6","77.3","","70.9","81",""
"04/13/2015","19:30:00","0006 NW  SE","6","5","","","","","","","","82.2","","72.5","72",""
"04/13/2015","19:30:00","0006 NW  SE","12","5","134","8","147","15","141","17","13","","","","",""
"04/13/2015","19:30:00","0006 NW  SE","54","5","131","10","131","17","145","19","11","80.3","-2.0","72.3","77",""
"04/13/2015","19:30:00","0006 NW  SE","162","5","131","13","134","19","140","20","8","","","","",""
"04/13/2015","19:30:00","0006 NW  SE","204","5","129","15","132","21","133","22","7","78.2","","70.5","77",""
"04/13/2015","19:30:00","SLC 40","54","5","","","","","","","","","","","",""
"04/13/2015","19:30:00","SLC 41","230","5","141","17","147","21","147","21","6","","","","",""
"04/13/2015","19:30:00","SLC 41","231","5","138","16","143","19","143","19","6","","","","",""
"04/13/2015","19:30:00","0313 NE  SW","6","5","","","","","","","","81.2","","71.1","72","1019.3"
"04/13/2015","19:30:00","0313 NE  SW","12","5","148","9","121","15","140","16","12","","","","",""
"04/13/2015","19:30:00","0313 NE  SW","54","5","144","13","147","17","132","18","9","80.0","-1.2","70.5","73",""
"04/13/2015","19:30:00","0313 NE  SW","162","5","152","15","146","20","146","20","7","","","","",""
"04/13/2015","19:30:00","0313 NE  SW","204","5","142","16","135","20","135","20","7","78.9","","70.0","74",""
"04/13/2015","19:30:00","0313 NE  SW","295","5","131","16","131","22","131","22","5","","","","",""
"04/13/2015","19:30:00","0313 NE  SW","394","5","127","16","124","21","124","21","5","","","","",""
"04/13/2015","19:30:00","0313 NE  SW","492","5","141","17","137","22","137","22","5","77.1","","68.9","76",""
"04/13/2015","19:30:00","0002 SE  SE","6","5","","","","","","","","83.1","","73.9","74",""
"04/13/2015","19:30:00","0002 SE  SE","12","5","155","8","145","13","159","14","14","","","","",""
"04/13/2015","19:30:00","0002 SE  SE","54","5","156","11","147","16","147","16","11","80.4","-2.7","72.2","76",""
"04/13/2015","19:30:00","0002 SE  SE","90","5","153","12","149","17","151","18","10","","","","",""
"04/13/2015","19:30:00","0002 SE  SE","145","5","151","15","149","18","149","18","9","","","","",""
"04/13/2015","19:30:00","0002 SE  SE","204","5","154","16","150","20","150","20","7","78.0","","71.0","79",""
"04/13/2015","19:30:00","0006 SE  SE","6","5","","","","","","","","81.4","","71.7","73",""
"04/13/2015","19:30:00","0006 SE  SE","12","5","156","9","167","16","156","17","14","","","","",""
"04/13/2015","19:30:00","0006 SE  SE","54","5","133","11","141","17","131","18","11","79.7","-1.7","70.8","74",""
"04/13/2015","19:30:00","0006 SE  SE","162","5","136","15","136","21","136","21","8","","","","",""
"04/13/2015","19:30:00","0006 SE  SE","204","5","137","16","143","20","143","20","8","78.5","","71.5","79",""
"04/13/2015","19:30:00","0313 SW  SW","6","5","","","","","","","","81.4","","69.6","68","1019.2"
"04/13/2015","19:30:00","0313 SW  SW","12","5","137","9","111","15","129","16","12","","","","",""
"04/13/2015","19:30:00","0313 SW  SW","54","5","137","12","152","19","152","19","10","80.0","-1.4","70.4","73",""
"04/13/2015","19:30:00","0313 SW  SW","162","5","139","15","131","21","131","21","8","","","","",""
"04/13/2015","19:30:00","0313 SW  SW","204","5","137","15","129","20","129","20","7","79.1","","71.2","77",""
"04/13/2015","19:30:00","0313 SW  SW","295","5","146","16","149","22","149","22","6","","","","",""
"04/13/2015","19:30:00","0313 SW  SW","394","5","138","17","131","20","131","20","6","","","","",""
"04/13/2015","19:30:00","0313 SW  SW","492","5","135","17","122","20","122","20","5","77.3","","69.2","76",""
"04/13/2015","19:30:00","0110 NW  NW","6","5","","","","","","","","81.4","","72.8","75",""
