"Event Date","Event Time","Tower Measurement Location","Height","Time Interval","Avg Wind Direction","Avg Wind Speed","Peak Wind Direction","Peak Wind Speed","Peak Wind Direction 10 Min","Peak Wind Speed 10 Min","Deviation","Temp","Temperature Difference","Dew Point","Relative Humidity","Barometric Pressure"
"03/01/2016","20:25:00","0002 NW  SE","6","5","","","","","","","","74.8","","64.0","69",""
"03/01/2016","20:25:00","0002 NW  SE","12","5","137","7","138","10","143","12","11","","","","",""
"03/01/2016","20:25:00","0002 NW  SE","54","5","135","9","128","12","132","13","8","72.5","-2.3","63.1","72",""
"03/01/2016","20:25:00","0002 NW  SE","90","5","144","10","148","13","151","14","7","","","","",""
"03/01/2016","20:25:00","0002 NW  SE","145","5","142","11","139","13","146","14","5","","","","",""
"03/01/2016","20:25:00","0002 NW  SE","204","5","143","12","146","13","145","15","3","69.8","","61.7","75",""
"03/01/2016","20:25:00","0006 NW  SE","6","5","","","","","","","","74.7","","62.2","65",""
"03/01/2016","20:25:00","0006 NW  SE","12","5","134","7","102","11","147","13","14","","","","",""
"03/01/2016","20:25:00","0006 NW  SE","54","5","135","9","117","16","117","16","12","72.7","-2.0","61.7","68",""
"03/01/2016","20:25:00","0006 NW  SE","162","5","142","11","136","17","136","17","9","","","","",""
"03/01/2016","20:25:00","0006 NW  SE","204","5","122","12","124","19","124","19","9","71.3","","60.6","69",""
"03/01/2016","20:25:00","SLC 40","54","5","","","","","","","","","","","",""
"03/01/2016","20:25:00","SLC 41","230","5","139","11","144","15","140","18","9","","","","",""
"03/01/2016","20:25:00","SLC 41","231","5","142","12","136","16","136","16","7","","","","",""
"03/01/2016","20:25:00","0110 NW  SE","6","5","","","","","","","","74.8","","61.6","64",""
"03/01/2016","20:25:00","0110 NW  SE","12","5","130","7","136","13","131","14","16","","","","",""
"03/01/2016","20:25:00","0110 NW  SE","54","5","140","10","142","17","142","17","12","72.5","-2.3","61.0","67",""
"03/01/2016","20:25:00","0110 NW  SE","162","5","162","13","147","19","147","19","8","","","","",""
"03/01/2016","20:25:00","0110 NW  SE","204","5","142","13","143","20","143","20","8","71.1","","61.1","71",""
"03/01/2016","20:25:00","0313 NE  SW","6","5","","","","","","","","76.5","","58.9","54","1017.7"
"03/01/2016","20:25:00","0313 NE  SW","12","5","157","8","155","12","148","14","15","","","","",""
"03/01/2016","20:25:00","0313 NE  SW","54","5","159","10","149","15","163","17","12","74.6","-1.9","57.7","56",""
"03/01/2016","20:25:00","0313 NE  SW","162","5","165","12","156","16","165","17","12","","","","",""
"03/01/2016","20:25:00","0313 NE  SW","204","5","156","13","150","17","157","17","11","100.0","","","",""
"03/01/2016","20:25:00","0313 NE  SW","295","5","148","14","142","17","164","18","15","","","","",""
"03/01/2016","20:25:00","0313 NE  SW","394","5","141","14","149","18","145","18","8","","","","",""
"03/01/2016","20:25:00","0313 NE  SW","492","5","","","","","","","","70.9","","56.4","60",""
"03/01/2016","20:25:00","0002 SE  SE","6","5","","","","","","","","73.4","","62.9","70",""
"03/01/2016","20:25:00","0002 SE  SE","12","5","145","7","141","11","147","11","12","","","","",""
"03/01/2016","20:25:00","0002 SE  SE","54","5","148","9","134","12","151","14","9","72.5","-0.8","63.7","74",""
"03/01/2016","20:25:00","0002 SE  SE","90","5","146","10","150","12","151","13","7","","","","",""
"03/01/2016","20:25:00","0002 SE  SE","145","5","146","11","143","13","146","14","6","","","","",""
"03/01/2016","20:25:00","0002 SE  SE","204","5","152","12","155","13","156","14","3","70.0","","62.3","77",""
"03/01/2016","20:25:00","0006 SE  SE","6","5","","","","","","","","74.1","","62.6","67",""
"03/01/2016","20:25:00","0006 SE  SE","12","5","141","8","146","12","137","14","15","","","","",""
"03/01/2016","20:25:00","0006 SE  SE","54","5","135","10","116","15","116","15","13","72.7","-1.5","61.3","67",""
"03/01/2016","20:25:00","0006 SE  SE","162","5","140","11","145","15","142","15","10","","","","",""
"03/01/2016","20:25:00","0006 SE  SE","204","5","140","12","147","18","142","18","9","71.9","","61.7","70",""
"03/01/2016","20:25:00","0110 SE  SE","6","5","","","","","","","","75.0","","62.6","65",""
"03/01/2016","20:25:00","0110 SE  SE","12","5","133","7","119","13","130","13","17","","","","",""
"03/01/2016","20:25:00","0110 SE  SE","54","5","141","11","145","18","145","18","12","73.2","-1.8","62.5","69",""
"03/01/2016","20:25:00","0110 SE  SE","162","5","140","13","145","18","145","18","9","","","","",""
"03/01/2016","20:25:00","0110 SE  SE","204","5","139","14","142","19","142","19","8","71.4","","60.9","69",""
"03/01/2016","20:25:00","0313 SW  SW","6","5","","","","","","","","76.2","","58.9","55","1017.6"
"03/01/2016","20:25:00","0313 SW  SW","12","5","144","8","141","13","141","13","16","","","","",""
"03/01/2016","20:25:00","0313 SW  SW","54","5","149","9","128","14","147","16","14","74.8","-1.4","58.0","56",""
"03/01/2016","20:25:00","0313 SW  SW","162","5","153","12","149","16","155","17","11","","","","",""
"03/01/2016","20:25:00","0313 SW  SW","204","5","151","12","145","16","159","17","10","","","","",""
"03/01/2016","20:25:00","0313 SW  SW","295","5","161","13","159","16","171","17","9","","","","",""
"03/01/2016","20:25:00","0313 SW  SW","394","5","153","14","149","17","158","18","8","","","","",""
"03/01/2016","20:25:00","0313 SW  SW","492","5","148","14","146","18","146","18","8","71.9","","56.5","58",""
"03/01/2016","20:30:00","0002 NW  SE","6","5","","","","","","","","74.8","","64.1","69",""
"03/01/2016","20:30:00","0002 NW  SE","12","5","140","7","133","12","133","12","11","","","","",""
"03/01/2016","20:30:00","0002 NW  SE","54","5","137","9","139","13","139","13","8","72.5","-2.4","63.1","73",""
"03/01/2016","20:30:00","0002 NW  SE","90","5","145","10","156","14","156","14","7","","","","",""
"03/01/2016","20:30:00","0002 NW  SE","145","5","142","11","146","15","146","15","5","","","","",""
"03/01/2016","20:30:00","0002 NW  SE","204","5","144","13","143","15","143","15","3","69.8","","61.7","75",""
"03/01/2016","20:30:00","0006 NW  SE","6","5","","","","","","","","74.8","","62.2","65",""
"03/01/2016","20:30:00","0006 NW  SE","12","5","133","7","138","13","138","13","14","","","","",""
"03/01/2016","20:30:00","0006 NW  SE","54","5","134","9","156","16","156","16","12","72.9","-1.9","61.6","68",""
"03/01/2016","20:30:00","0006 NW  SE","162","5","141","11","147","18","147","18","9","","","","",""
"03/01/2016","20:30:00","0006 NW  SE","204","5","124","12","127","18","124","19","9","71.6","","60.7","69",""
"03/01/2016","20:30:00","SLC 40","54","5","","","","","","","","","","","",""
"03/01/2016","20:30:00","SLC 41","230","5","140","13","140","18","140","18","8","","","","",""
"03/01/2016","20:30:00","SLC 41","231","5","143","12","133","16","136","16","7","","","","",""
"03/01/2016","20:30:00","0110 NW  SE","6","5","","","","","","","","74.4","","61.6","64",""
"03/01/2016","20:30:00","0110 NW  SE","12","5","125","8","121","13","121","13","17","","","","",""
"03/01/2016","20:30:00","0110 NW  SE","54","5","138","12","153","18","153","18","12","72.2","-2.2","61.1","68",""
"03/01/2016","20:30:00","0110 NW  SE","162","5","162","15","156","19","147","19","8","","","","",""
"03/01/2016","20:30:00","0110 NW  SE","204","5","142","14","144","19","143","20","8","70.9","","61.3","72",""
"03/01/2016","20:30:00","0313 NE  SW","6","5","","","","","","","","76.4","","59.4","56","1017.7"
"03/01/2016","20:30:00","0313 NE  SW","12","5","153","8","150","13","150","13","16","","","","",""
"03/01/2016","20:30:00","0313 NE  SW","54","5","157","10","152","14","149","15","13","74.5","-2.0","58.2","57",""
"03/01/2016","20:30:00","0313 NE  SW","162","5","163","11","186","16","186","16","12","","","","",""
"03/01/2016","20:30:00","0313 NE  SW","204","5","154","12","179","15","150","17","11","100.5","","","",""
"03/01/2016","20:30:00","0313 NE  SW","295","5","149","14","147","19","147","19","15","","","","",""
"03/01/2016","20:30:00","0313 NE  SW","394","5","141","15","139","18","149","18","8","","","","",""
"03/01/2016","20:30:00","0313 NE  SW","492","5","","","","","","","","70.8","","56.9","61",""
"03/01/2016","20:30:00","0002 SE  SE","6","5","","","","","","","","73.4","","63.0","70",""
"03/01/2016","20:30:00","0002 SE  SE","12","5","148","7","147","12","147","12","12","","","","",""
"03/01/2016","20:30:00","0002 SE  SE","54","5","150","9","154","13","154","13","8","72.6","-0.8","63.9","74",""
"03/01/2016","20:30:00","0002 SE  SE","90","5","146","10","150","14","150","14","7","","","","",""
"03/01/2016","20:30:00","0002 SE  SE","145","5","146","11","156","15","156","15","5","","","","",""
"03/01/2016","20:30:00","0002 SE  SE","204","5","152","12","154","14","154","14","3","70.0","","62.4","77",""
"03/01/2016","20:30:00","0006 SE  SE","6","5","","","","","","","","74.2","","62.6","67",""
"03/01/2016","20:30:00","0006 SE  SE","12","5","141","8","154","13","154","13","15","","","","",""
"03/01/2016","20:30:00","0006 SE  SE","54","5","132","10","127","15","127","15","13","72.9","-1.4","61.3","67",""
"03/01/2016","20:30:00","0006 SE  SE","162","5","139","11","148","16","148","16","10","","","","",""
"03/01/2016","20:30:00","0006 SE  SE","204","5","142","12","140","17","147","18","10","72.0","","61.6","70",""
"03/01/2016","20:30:00","0110 SE  SE","6","5","","","","","","","","74.6","","62.6","66",""
"03/01/2016","20:30:00","0110 SE  SE","12","5","131","8","122","13","122","13","18","","","","",""
"03/01/2016","20:30:00","0110 SE  SE","54","5","140","13","141","17","145","18","12","73.0","-1.6","62.6","70",""
