"Event Date","Event Time","Tower Measurement Location","Height","Time Interval","Avg Wind Direction","Avg Wind Speed","Peak Wind Direction","Peak Wind Speed","Peak Wind Direction 10 Min","Peak Wind Speed 10 Min","Deviation","Temp","Temperature Difference","Dew Point","Relative Humidity","Barometric Pressure"
"03/12/2017","01:55:00","0002 NW  SE","6","5","","","","","","","","71.4","","60.4","68",""
"03/12/2017","01:55:00","0002 NW  SE","12","5","96","3","85","6","85","6","19","","","","",""
"03/12/2017","01:55:00","0002 NW  SE","54","5","93","6","95","10","102","10","12","71.9","0.5","59.8","66",""
"03/12/2017","01:55:00","0002 NW  SE","90","5","95","8","101","10","89","11","7","","","","",""
"03/12/2017","01:55:00","0002 NW  SE","145","5","97","10","103","12","91","12","5","","","","",""
"03/12/2017","01:55:00","0002 NW  SE","204","5","98","10","101","13","104","13","5","71.9","","59.3","64",""
"03/12/2017","01:55:00","0006 NW  SE","6","5","","","","","","","","71.4","","61.3","70",""
"03/12/2017","01:55:00","0006 NW  SE","12","5","99","4","80","7","100","7","16","","","","",""
"03/12/2017","01:55:00","0006 NW  SE","54","5","102","7","107","11","107","11","10","72.1","0.7","60.7","67",""
"03/12/2017","01:55:00","0006 NW  SE","162","5","108","10","115","13","115","13","4","","","","",""
"03/12/2017","01:55:00","0006 NW  SE","204","5","99","9","106","12","106","12","4","72.0","","60.0","66",""
"03/12/2017","01:55:00","SLC 40","54","5","","","","","","","","","","","",""
"03/12/2017","01:55:00","SLC 41","230","5","102","10","102","12","101","12","4","","","","",""
"03/12/2017","01:55:00","SLC 41","231","5","102","12","101","13","103","13","2","","","","",""
"03/12/2017","01:55:00","0110 NW  SE","6","5","","","","","","","","71.1","","61.5","72",""
"03/12/2017","01:55:00","0110 NW  SE","12","5","97","3","99","6","99","6","11","","","","",""
"03/12/2017","01:55:00","0110 NW  SE","54","5","105","4","106","6","106","6","8","71.7","0.6","60.8","68",""
"03/12/2017","01:55:00","0110 NW  SE","162","5","123","9","124","10","127","11","4","","","","",""
"03/12/2017","01:55:00","0110 NW  SE","204","5","95","9","99","11","99","12","3","71.9","","60.2","67",""
"03/12/2017","01:55:00","0002 SE  SE","6","5","","","","","","","","71.4","","59.9","67",""
"03/12/2017","01:55:00","0002 SE  SE","12","5","92","3","97","8","97","8","21","","","","",""
