"Event Date","Event Time","Profiler","Height","Speed","Direction","1","2","3","4","5","1","2","3","4","5","1","2","3","4","5"
"10/06/2017","04:16:01","RWP0004","0.130","","","0.00","2.30","-2.30","","","9","6","5","","","14","12","11","",""
"10/06/2017","04:16:01","RWP0004","0.231","","","0.00","0.00","-2.30","","","9","8","5","","","14","15","11","",""
"10/06/2017","04:16:01","RWP0004","0.332","","","0.00","0.00","-0.20","","","9","10","5","","","14","14","13","",""
"10/06/2017","04:16:01","RWP0004","0.434","0.5","83","0.00","0.00","-0.10","","","9","10","9","","","13","14","12","",""
"10/06/2017","04:16:01","RWP0004","0.535","3.8","118","-0.10","0.00","-1.10","","","9","10","9","","","11","12","9","",""
"10/06/2017","04:16:01","RWP0004","0.636","1.8","124","0.00","0.00","-0.50","","","9","10","8","","","10","11","10","",""
"10/06/2017","04:16:01","RWP0004","0.737","","","0.00","0.00","-0.30","","","9","10","5","","","10","10","10","",""
"10/06/2017","04:16:01","RWP0004","0.838","","","0.00","0.00","-1.70","","","9","10","5","","","10","8","5","",""
"10/06/2017","04:16:01","RWP0004","0.940","","","0.00","-0.10","-2.10","","","9","10","5","","","10","4","0","",""
"10/06/2017","04:16:01","RWP0004","1.041","","","0.00","-0.10","0.20","","","9","10","5","","","11","7","3","",""
"10/06/2017","04:16:01","RWP0004","1.142","0.4","257","-0.10","-0.10","0.00","","","9","10","6","","","8","5","4","",""
"10/06/2017","04:16:01","RWP0004","1.243","","","-0.10","-0.20","0.10","","","9","9","5","","","8","5","5","",""
"10/06/2017","04:16:01","RWP0004","1.344","6.5","133","0.00","-0.30","-1.70","","","9","8","6","","","11","2","-1","",""
"10/06/2017","04:16:01","RWP0004","1.445","4.7","144","0.10","-0.30","-1.10","","","9","9","8","","","12","0","-2","",""
"10/06/2017","04:16:01","RWP0004","1.547","5.3","140","0.00","-0.40","-1.30","","","9","8","7","","","11","-1","-3","",""
"10/06/2017","04:16:01","RWP0004","1.648","7.4","134","0.00","-0.30","-1.90","","","8","8","6","","","10","-1","-2","",""
"10/06/2017","04:16:01","RWP0004","1.749","8.0","140","0.20","-0.40","-1.90","","","8","8","8","","","5","-1","-3","",""
"10/06/2017","04:16:01","RWP0004","1.850","5.6","141","0.00","-0.50","-1.50","","","7","6","9","","","-1","-4","-4","",""
"10/06/2017","04:16:01","RWP0004","1.951","9.5","154","0.60","-0.70","-1.70","","","6","9","7","","","-1","-6","-7","",""
"10/06/2017","04:16:01","RWP0004","2.053","6.2","160","0.60","-1.00","-1.30","","","4","9","9","","","-2","-7","-9","",""
"10/06/2017","04:16:01","RWP0004","2.154","5.6","167","0.30","-1.00","-1.10","","","5","9","10","","","-6","-8","-10","",""
"10/06/2017","04:16:01","RWP0004","2.255","7.4","168","0.30","-1.10","-1.10","","","8","9","6","","","-11","-10","-12","",""
"10/06/2017","04:16:01","RWP0004","2.356","5.9","163","0.00","-1.00","-1.20","","","7","9","8","","","-9","-11","-14","",""
"10/06/2017","04:16:01","RWP0004","2.457","6.9","168","0.20","-1.10","-1.20","","","8","10","10","","","-7","-10","-12","",""
"10/06/2017","04:16:01","RWP0004","2.558","7.4","173","0.20","-1.30","-1.10","","","8","9","10","","","-9","-10","-12","",""
"10/06/2017","04:16:01","RWP0004","2.660","8.2","176","0.30","-1.40","-1.00","","","8","8","10","","","-12","-11","-13","",""
"10/06/2017","04:16:01","RWP0004","2.761","7.7","171","0.30","-1.20","-1.20","","","9","8","10","","","-12","-12","-13","",""
"10/06/2017","04:16:01","RWP0004","2.862","9.5","171","0.50","-1.40","-1.20","","","9","10","10","","","-13","-11","-14","",""
"10/06/2017","04:16:01","RWP0004","2.963","10.7","172","0.70","-1.50","-1.20","","","9","9","8","","","-12","-12","-14","",""
"10/06/2017","04:16:01","RWP0004","3.064","8.6","173","0.30","-1.40","-1.20","","","8","8","8","","","-12","-10","-14","",""
"10/06/2017","04:16:01","RWP0004","3.166","","","0.40","-1.30","-1.20","","","6","8","5","","","-12","-11","-12","",""
"10/06/2017","04:16:01","RWP0004","3.267","9.0","165","0.40","-1.20","-1.50","","","7","10","7","","","-15","-12","-14","",""
"10/06/2017","04:16:01","RWP0004","3.368","9.8","165","0.60","-1.20","-1.40","","","9","9","9","","","-15","-14","-15","",""
"10/06/2017","04:16:01","RWP0004","3.469","","","0.70","-1.20","-1.50","","","5","5","7","","","-19","-16","-17","",""
"10/06/2017","04:16:01","RWP0004","3.570","","","-1.80","-1.20","-9.40","","","3","4","2","","","-20","-17","-20","",""
"10/06/2017","04:16:01","RWP0004","3.671","","","-4.90","-1.40","-1.70","","","4","3","3","","","-20","-19","-18","",""
"10/06/2017","04:16:01","RWP0004","3.773","","","9.30","3.70","8.20","","","2","2","2","","","-21","-20","-18","",""
"10/06/2017","04:16:01","RWP0004","3.874","","","9.60","-1.30","-2.30","","","4","4","4","","","-20","-17","-18","",""
"10/06/2017","04:16:01","RWP0004","3.975","","","-1.60","8.80","-9.40","","","3","2","2","","","-20","-20","-19","",""
"10/06/2017","04:16:01","RWP0004","4.076","","","3.10","8.80","-4.10","","","4","4","3","","","-20","-18","-21","",""
"10/06/2017","04:16:01","RWP0004","4.177","","","-8.30","1.00","-3.50","","","6","4","3","","","-19","-20","-18","",""
"10/06/2017","04:16:01","RWP0004","4.279","","","-9.50","7.70","-1.30","","","5","2","2","","","-18","-18","-19","",""
"10/06/2017","04:16:01","RWP0004","4.380","","","7.10","-1.20","7.50","","","3","6","2","","","-20","-18","-21","",""
"10/06/2017","04:16:01","RWP0004","4.481","","","1.80","-1.20","-2.30","","","3","5","3","","","-19","-19","-19","",""
"10/06/2017","04:16:01","RWP0004","4.582","","","-2.70","-1.70","-2.10","","","5","4","3","","","-19","-16","-21","",""
"10/06/2017","04:16:01","RWP0004","4.683","","","-3.30","-1.30","-1.70","","","4","3","3","","","-19","-17","-20","",""
"10/06/2017","04:16:01","RWP0004","4.784","","","5.70","-7.60","-8.00","","","3","3","3","","","-18","-17","-19","",""
"10/06/2017","04:16:01","RWP0004","4.886","","","4.30","-3.20","-1.90","","","4","4","4","","","-19","-18","-18","",""
"10/06/2017","04:16:01","RWP0004","4.987","","","0.70","8.10","-6.90","","","4","2","2","","","-20","-21","-20","",""
"10/06/2017","04:16:01","RWP0004","5.088","","","0.70","-2.90","-0.70","","","4","3","4","","","-17","-21","-20","",""
"10/06/2017","04:16:01","RWP0004","5.189","","","7.70","-0.80","-0.60","","","3","3","5","","","-19","-18","-20","",""
"10/06/2017","04:16:01","RWP0004","5.290","","","-4.90","-1.10","-0.60","","","3","3","5","","","-17","-19","-18","",""
"10/06/2017","04:16:01","RWP0004","5.392","","","8.20","-3.60","-1.00","","","4","3","4","","","-19","-19","-20","",""
"10/06/2017","04:16:01","RWP0004","5.493","","","-1.20","-1.00","-9.40","","","3","3","3","","","-19","-19","-19","",""
"10/06/2017","04:16:01","RWP0004","5.594","","","5.00","4.00","1.30","","","5","3","3","","","-19","-21","-19","",""
"10/06/2017","04:16:01","RWP0004","5.695","","","-2.10","-7.30","7.40","","","3","2","3","","","-19","-17","-21","",""
"10/06/2017","04:16:01","RWP0004","5.796","","","6.50","8.20","8.30","","","3","3","3","","","-21","-20","-18","",""
"10/06/2017","04:16:01","RWP0004","5.897","","","3.70","9.80","4.60","","","3","3","3","","","-21","-20","-20","",""
"10/06/2017","04:16:01","RWP0004","5.999","","","-7.60","1.70","-2.90","","","4","3","2","","","-19","-21","-19","",""
"10/06/2017","04:16:01","RWP0004","6.100","","","5.20","1.00","-6.20","","","5","3","3","","","-18","-19","-17","",""
"10/06/2017","04:16:15","RWP0002","0.130","9.3","267","0.10","-0.10","2.60","","","9","9","6","","","12","11","9","",""
"10/06/2017","04:16:15","RWP0002","0.231","9.4","269","0.10","0.00","2.60","","","9","9","6","","","13","11","9","",""
"10/06/2017","04:16:15","RWP0002","0.332","2.2","144","0.10","-0.40","-0.20","","","9","8","8","","","9","10","7","",""
"10/06/2017","04:16:15","RWP0002","0.434","9.8","98","0.10","-0.20","-2.50","","","9","7","6","","","9","10","7","",""
"10/06/2017","04:16:15","RWP0002","0.535","13.4","137","0.10","-2.50","-2.50","","","9","7","8","","","12","8","9","",""
"10/06/2017","04:16:15","RWP0002","0.636","13.2","137","-2.50","-2.50","-2.50","","","5","7","8","","","9","8","9","",""
"10/06/2017","04:16:15","RWP0002","0.737","","","-0.10","-0.10","-2.50","","","6","5","7","","","9","7","7","",""
"10/06/2017","04:16:15","RWP0002","0.838","8.4","130","-0.40","-1.70","-2.10","","","9","6","6","","","2","-2","-1","",""
"10/06/2017","04:16:15","RWP0002","0.940","9.7","128","0.00","-1.50","-2.10","","","7","9","7","","","5","-5","-3","",""
"10/06/2017","04:16:15","RWP0002","1.041","","","0.00","-2.30","2.40","","","6","5","5","","","2","3","5","",""
"10/06/2017","04:16:15","RWP0002","1.142","","","-0.20","-2.10","-2.10","","","7","8","4","","","-1","1","2","",""
"10/06/2017","04:16:15","RWP0002","1.243","","","0.00","-1.20","-1.50","","","9","10","4","","","-4","-3","-6","",""
"10/06/2017","04:16:15","RWP0002","1.344","5.6","136","0.00","-1.10","-1.10","","","9","9","9","","","-4","-3","-8","",""
"10/06/2017","04:16:15","RWP0002","1.445","3.3","107","-0.30","-0.50","-1.10","","","9","10","9","","","2","2","-1","",""
"10/06/2017","04:16:15","RWP0002","1.547","3.0","150","-0.40","-1.10","-0.80","","","9","10","9","","","0","-2","-2","",""
"10/06/2017","04:16:15","RWP0002","1.648","5.9","160","0.00","-1.50","-0.60","","","9","9","8","","","-3","-4","0","",""
"10/06/2017","04:16:15","RWP0002","1.749","4.2","166","-0.40","-1.50","-0.70","","","8","10","6","","","-4","-5","-1","",""
"10/06/2017","04:16:15","RWP0002","1.850","8.9","152","0.40","-1.60","-0.80","","","7","9","9","","","-5","-4","-3","",""
"10/06/2017","04:16:15","RWP0002","1.951","6.7","157","0.00","-1.60","-0.80","","","8","10","8","","","-7","-6","-3","",""
"10/06/2017","04:16:15","RWP0002","2.053","6.3","151","-0.10","-1.50","-0.90","","","8","10","8","","","-6","-5","-7","",""
"10/06/2017","04:16:15","RWP0002","2.154","5.7","149","-0.20","-1.50","-1.00","","","9","10","8","","","-5","-4","-6","",""
"10/06/2017","04:16:15","RWP0002","2.255","6.3","149","-0.10","-1.50","-1.00","","","8","10","8","","","-7","-5","-8","",""
"10/06/2017","04:16:15","RWP0002","2.356","","","0.30","-1.40","-0.50","","","9","10","5","","","-12","-6","-11","",""
"10/06/2017","04:16:15","RWP0002","2.457","10.5","141","0.70","-1.50","-1.20","","","8","10","7","","","-12","-8","-14","",""
"10/06/2017","04:16:15","RWP0002","2.558","4.3","160","-0.50","-1.50","-0.90","","","7","10","8","","","-12","-9","-11","",""
"10/06/2017","04:16:15","RWP0002","2.660","6.3","153","0.00","-1.50","-0.90","","","6","9","8","","","-13","-11","-12","",""
"10/06/2017","04:16:15","RWP0002","2.761","5.6","151","-0.10","-1.40","-0.90","","","6","7","7","","","-15","-12","-15","",""
"10/06/2017","04:16:15","RWP0002","2.862","","","0.00","-1.50","-0.40","","","7","9","4","","","-15","-14","-16","",""
"10/06/2017","04:16:15","RWP0002","2.963","","","0.50","-1.60","-0.20","","","7","9","5","","","-17","-15","-16","",""
"10/06/2017","04:16:15","RWP0002","3.064","","","0.60","-1.90","0.10","","","6","7","5","","","-18","-15","-16","",""
"10/06/2017","04:16:15","RWP0002","3.166","","","0.60","-1.90","4.00","","","5","10","3","","","-18","-16","-18","",""
"10/06/2017","04:16:15","RWP0002","3.267","","","-0.70","-2.10","-1.10","","","2","4","4","","","-20","-15","-18","",""
"10/06/2017","04:16:15","RWP0002","3.368","","","2.60","-2.20","-1.00","","","3","4","3","","","-17","-15","-20","",""
"10/06/2017","04:16:15","RWP0002","3.469","","","-6.70","-2.00","-1.20","","","4","2","3","","","-18","-16","-18","",""
"10/06/2017","04:16:15","RWP0002","3.570","","","9.00","4.50","-7.70","","","3","3","2","","","-18","-20","-19","",""
"10/06/2017","04:16:15","RWP0002","3.671","","","0.50","-1.60","-1.10","","","2","3","2","","","-21","-18","-18","",""
"10/06/2017","04:16:15","RWP0002","3.773","","","6.50","2.10","-7.40","","","3","3","3","","","-18","-18","-18","",""
"10/06/2017","04:16:15","RWP0002","3.874","","","-2.50","-2.10","-1.60","","","4","3","2","","","-20","-21","-20","",""
"10/06/2017","04:16:15","RWP0002","3.975","","","1.90","-10.10","-8.70","","","2","2","3","","","-20","-20","-20","",""
"10/06/2017","04:16:15","RWP0002","4.076","","","-6.20","-0.90","2.80","","","2","2","3","","","-18","-21","-19","",""
"10/06/2017","04:16:15","RWP0002","4.177","","","5.30","-5.20","1.50","","","3","3","2","","","-20","-19","-17","",""
"10/06/2017","04:16:15","RWP0002","4.279","","","2.80","-1.30","1.00","","","4","2","2","","","-19","-20","-20","",""
"10/06/2017","04:16:15","RWP0002","4.380","","","-3.10","-1.60","-2.60","","","3","6","2","","","-19","-19","-22","",""
"10/06/2017","04:16:15","RWP0002","4.481","","","-10.10","-5.30","7.30","","","2","4","2","","","-20","-20","-20","",""
"10/06/2017","04:16:15","RWP0002","4.582","","","6.20","-1.50","1.60","","","3","3","2","","","-18","-17","-20","",""
"10/06/2017","04:16:15","RWP0002","4.683","","","-5.60","-4.90","-1.20","","","4","2","3","","","-19","-18","-20","",""
"10/06/2017","04:16:15","RWP0002","4.784","","","-8.00","8.60","6.10","","","4","2","2","","","-19","-19","-20","",""
"10/06/2017","04:16:15","RWP0002","4.886","","","10.10","-0.90","2.50","","","3","3","2","","","-18","-20","-21","",""
"10/06/2017","04:16:15","RWP0002","4.987","","","8.30","9.70","4.80","","","3","3","3","","","-20","-19","-17","",""
"10/06/2017","04:16:15","RWP0002","5.088","","","5.30","8.90","5.30","","","4","4","4","","","-18","-16","-18","",""
"10/06/2017","04:16:15","RWP0002","5.189","","","-5.80","8.90","-6.50","","","2","3","4","","","-18","-20","-19","",""
