"Event Date","Event Time","Profiler","Height","Speed","Direction","1","2","3","4","5","1","2","3","4","5","1","2","3","4","5"
"08/12/2018","03:46:01","RWP0003","0.130","7.5","214","0.10","-1.80","0.70","","","9","10","10","","","3","9","9","",""
"08/12/2018","03:46:01","RWP0003","0.231","7.1","216","0.10","-1.70","0.80","","","9","10","10","","","8","15","14","",""
"08/12/2018","03:46:01","RWP0003","0.332","7.0","216","0.20","-1.60","0.80","","","9","10","10","","","6","14","13","",""
"08/12/2018","03:46:01","RWP0003","0.434","7.0","215","0.20","-1.60","0.80","","","9","10","10","","","2","9","8","",""
"08/12/2018","03:46:01","RWP0003","0.535","5.4","220","0.00","-1.40","0.50","","","9","9","10","","","0","9","5","",""
"08/12/2018","03:46:01","RWP0003","0.636","4.7","208","-0.20","-1.40","0.10","","","9","9","10","","","3","15","7","",""
"08/12/2018","03:46:01","RWP0003","0.737","4.6","211","-0.20","-1.40","0.10","","","9","9","9","","","4","13","6","",""
"08/12/2018","03:46:01","RWP0003","0.838","3.6","210","-0.40","-1.30","-0.20","","","9","9","9","","","2","8","4","",""
"08/12/2018","03:46:01","RWP0003","0.940","3.3","207","-0.40","-1.30","-0.30","","","9","10","9","","","-1","5","1","",""
"08/12/2018","03:46:01","RWP0003","1.041","4.8","191","-0.10","-1.40","-0.20","","","8","10","10","","","-3","3","3","",""
"08/12/2018","03:46:01","RWP0003","1.142","4.9","188","-0.10","-1.40","-0.30","","","9","10","10","","","-6","1","0","",""
"08/12/2018","03:46:01","RWP0003","1.243","4.7","191","-0.20","-1.50","-0.40","","","7","10","10","","","-11","-3","-4","",""
"08/12/2018","03:46:01","RWP0003","1.344","5.8","182","0.00","-1.50","-0.40","","","9","10","9","","","-13","-4","-6","",""
"08/12/2018","03:46:01","RWP0003","1.445","6.0","182","0.00","-1.60","-0.40","","","8","10","9","","","-13","-5","-6","",""
"08/12/2018","03:46:01","RWP0003","1.547","6.4","175","0.20","-1.30","-0.40","","","7","10","10","","","-10","-4","-6","",""
"08/12/2018","03:46:01","RWP0003","1.648","4.9","179","0.00","-1.30","-0.40","","","8","9","10","","","-10","-2","-5","",""
"08/12/2018","03:46:01","RWP0003","1.749","5.0","180","-0.10","-1.30","-0.50","","","6","9","10","","","-13","-4","-5","",""
"08/12/2018","03:46:01","RWP0003","1.850","6.4","175","0.10","-1.40","-0.50","","","6","9","10","","","-14","-8","-8","",""
"08/12/2018","03:46:01","RWP0003","1.951","5.4","173","-0.10","-1.30","-0.60","","","5","9","10","","","-15","-9","-11","",""
"08/12/2018","03:46:01","RWP0003","2.053","5.0","171","0.20","-1.20","-0.60","","","5","10","10","","","-16","-8","-12","",""
"08/12/2018","03:46:01","RWP0003","2.154","5.0","173","6.20","-1.20","-0.50","","","3","10","9","","","-20","-8","-13","",""
"08/12/2018","03:46:01","RWP0003","2.255","5.0","175","-9.70","-1.20","-0.50","","","3","10","7","","","-17","-10","-15","",""
"08/12/2018","03:46:01","RWP0003","2.356","","","0.00","-1.20","-0.40","","","4","10","4","","","-19","-12","-16","",""
"08/12/2018","03:46:01","RWP0003","2.457","","","1.10","-1.10","-6.80","","","6","10","3","","","-18","-11","-20","",""
"08/12/2018","03:46:01","RWP0003","2.558","3.5","204","-8.80","-0.90","0.10","","","3","10","6","","","-18","-12","-15","",""
"08/12/2018","03:46:01","RWP0003","2.660","","","8.80","-0.90","0.40","","","3","8","3","","","-21","-15","-15","",""
"08/12/2018","03:46:01","RWP0003","2.761","","","-1.80","-0.60","0.50","","","3","5","5","","","-20","-15","-19","",""
"08/12/2018","03:46:01","RWP0003","2.862","3.0","248","3.90","-0.50","0.60","","","4","8","7","","","-21","-15","-13","",""
"08/12/2018","03:46:01","RWP0003","2.963","3.5","248","5.20","-0.60","0.70","","","3","9","8","","","-21","-14","-13","",""
"08/12/2018","03:46:01","RWP0003","3.064","","","4.30","-0.40","0.80","","","3","5","9","","","-21","-15","-16","",""
"08/12/2018","03:46:01","RWP0003","3.166","","","-9.10","-0.50","0.70","","","3","5","3","","","-17","-18","-19","",""
"08/12/2018","03:46:01","RWP0003","3.267","","","-1.40","-0.40","0.90","","","2","3","4","","","-18","-20","-18","",""
"08/12/2018","03:46:01","RWP0003","3.368","","","3.50","-8.90","1.00","","","4","4","4","","","-19","-19","-18","",""
"08/12/2018","03:46:01","RWP0003","3.469","","","-5.40","6.50","1.00","","","3","3","5","","","-20","-16","-17","",""
"08/12/2018","03:46:01","RWP0003","3.570","","","-9.40","1.30","1.40","","","3","5","4","","","-21","-22","-17","",""
"08/12/2018","03:46:01","RWP0003","3.671","","","3.20","-0.40","0.70","","","3","4","2","","","-21","-19","-21","",""
"08/12/2018","03:46:01","RWP0003","3.773","","","-4.00","9.40","1.10","","","4","4","5","","","-19","-19","-18","",""
"08/12/2018","03:46:01","RWP0003","3.874","","","-4.30","1.50","1.00","","","3","3","6","","","-20","-18","-20","",""
"08/12/2018","03:46:01","RWP0003","3.975","","","8.20","-0.80","2.40","","","4","3","2","","","-18","-18","-18","",""
"08/12/2018","03:46:01","RWP0003","4.076","","","1.30","-0.40","-9.60","","","3","3","4","","","-18","-18","-19","",""
"08/12/2018","03:46:01","RWP0003","4.177","","","7.30","-0.50","0.60","","","2","5","3","","","-22","-17","-19","",""
"08/12/2018","03:46:01","RWP0003","4.279","","","5.90","-8.50","-8.40","","","3","3","3","","","-19","-19","-19","",""
"08/12/2018","03:46:01","RWP0003","4.380","","","-7.20","7.70","-9.00","","","4","3","4","","","-17","-20","-18","",""
"08/12/2018","03:46:01","RWP0003","4.481","","","3.10","4.20","7.10","","","3","4","3","","","-20","-19","-19","",""
"08/12/2018","03:46:01","RWP0003","4.582","","","-2.10","1.00","8.90","","","3","3","3","","","-19","-18","-20","",""
"08/12/2018","03:46:01","RWP0003","4.683","","","-8.50","3.60","-3.30","","","3","2","2","","","-18","-20","-19","",""
"08/12/2018","03:46:01","RWP0003","4.784","","","-9.60","-0.80","-2.10","","","4","4","2","","","-22","-21","-17","",""
"08/12/2018","03:46:01","RWP0003","4.886","","","2.40","-1.10","5.60","","","4","7","2","","","-17","-18","-22","",""
"08/12/2018","03:46:01","RWP0003","4.987","","","-8.40","-1.20","0.70","","","3","5","4","","","-17","-18","-19","",""
"08/12/2018","03:46:01","RWP0003","5.088","","","-0.60","8.10","0.60","","","2","3","4","","","-20","-22","-19","",""
"08/12/2018","03:46:01","RWP0003","5.189","","","6.80","1.50","8.00","","","4","3","2","","","-19","-22","-19","",""
"08/12/2018","03:46:01","RWP0003","5.290","","","-4.60","-0.80","3.00","","","2","3","3","","","-21","-19","-20","",""
"08/12/2018","03:46:01","RWP0003","5.392","","","-1.20","9.60","-8.70","","","4","3","4","","","-20","-19","-20","",""
"08/12/2018","03:46:01","RWP0003","5.493","","","2.80","-0.10","-6.00","","","4","4","2","","","-18","-19","-21","",""
"08/12/2018","03:46:01","RWP0003","5.594","","","5.40","-0.70","-0.50","","","3","4","3","","","-18","-17","-17","",""
"08/12/2018","03:46:01","RWP0003","5.695","","","-9.40","-0.90","-0.60","","","3","3","2","","","-16","-18","-21","",""
"08/12/2018","03:46:01","RWP0003","5.796","","","7.50","-0.60","4.80","","","3","4","3","","","-17","-16","-19","",""
"08/12/2018","03:46:01","RWP0003","5.897","","","-6.00","-0.70","5.20","","","3","5","5","","","-19","-16","-19","",""
"08/12/2018","03:46:01","RWP0003","5.999","","","-8.30","-6.60","7.00","","","3","3","4","","","-20","-19","-20","",""
"08/12/2018","03:46:01","RWP0003","6.100","","","-7.30","-8.40","-8.60","","","2","4","4","","","-21","-19","-20","",""
"08/12/2018","03:46:09","RWP0002","0.130","5.5","206","0.00","-1.30","0.70","","","9","10","9","","","5","6","8","",""
"08/12/2018","03:46:09","RWP0002","0.231","6.1","210","0.10","-1.40","0.80","","","9","10","9","","","7","8","9","",""
