"Event Date","Event Time","Altitude","Wind Direction","Wind Speed","Wind Shear","WW","S1","S2","S3","N1","N2","N3","WID1","WID2","WID3","G1","G2","QC"
"12/22/2018","10:24:00","1795","279","9.3","0.000","0.03","100.4","101.8","101.2","57.8","58.3","58.1","0.70","0.70","0.67","0","0","1"
"12/22/2018","10:24:00","1944","285","10.1","0.009","0.06","99.3","101.7","100.7","57.8","58.4","58.1","1.10","0.90","1.01","0","0","1"
"12/22/2018","10:24:00","2093","280","9.5","0.008","0.03","106.7","107.6","107.2","58.5","59.4","59.0","0.80","0.80","0.80","0","0","1"
"12/22/2018","10:24:00","2243","286","9.7","0.007","0.10","106.0","106.9","106.5","58.2","59.0","58.7","1.30","1.10","1.22","0","0","1"
"12/22/2018","10:24:00","2392","304","15.6","0.048","-0.12","102.9","102.1","102.5","58.3","58.8","58.6","2.50","1.50","2.01","0","0","1"
"12/22/2018","10:24:00","2542","318","25.5","0.073","-0.03","106.7","106.5","106.6","59.4","60.2","59.8","1.20","1.10","1.17","0","0","1"
"12/22/2018","10:24:00","2691","317","27.4","0.013","-0.06","104.9","105.6","105.3","60.0","60.6","60.3","1.00","1.00","1.02","0","0","1"
"12/22/2018","10:24:00","2841","315","27.3","0.008","0.03","99.9","100.9","100.4","58.6","58.7","58.7","1.30","1.00","1.19","0","0","1"
"12/22/2018","10:24:00","2990","314","27.1","0.002","0.03","95.9","95.8","95.8","58.1","58.1","58.1","1.10","1.20","1.10","0","0","1"
"12/22/2018","10:24:00","3140","311","27.7","0.010","-0.04","97.4","96.8","97.1","58.0","58.1","58.1","0.90","0.90","0.86","0","0","1"
"12/22/2018","10:24:00","3289","310","26.4","0.010","-0.12","97.6","97.2","97.4","58.1","58.2","58.1","1.00","0.90","0.95","0","0","1"
"12/22/2018","10:24:00","3439","309","25.9","0.004","-0.07","103.6","103.0","103.3","58.0","58.2","58.1","0.80","0.80","0.81","0","0","1"
"12/22/2018","10:24:00","3588","308","24.6","0.009","-0.07","103.8","103.7","103.8","58.1","58.2","58.1","0.80","0.80","0.82","0","0","1"
"12/22/2018","10:24:00","3737","307","24.0","0.005","-0.02","104.0","106.1","105.2","58.1","58.4","58.3","0.70","0.70","0.71","0","0","1"
"12/22/2018","10:24:00","3887","307","24.2","0.001","-0.05","95.6","97.5","96.6","58.1","58.2","58.1","0.80","0.80","0.77","0","0","1"
"12/22/2018","10:24:00","4036","305","24.8","0.007","-0.13","93.5","94.2","93.9","58.0","58.2","58.1","0.80","1.00","0.86","0","0","1"
"12/22/2018","10:24:00","4186","302","25.4","0.011","-0.04","95.0","94.8","94.9","58.1","58.4","58.2","0.80","0.90","0.84","0","0","1"
"12/22/2018","10:24:00","4335","299","26.1","0.010","-0.02","86.4","88.4","87.5","58.1","58.3","58.2","0.80","1.20","1.03","0","0","1"
"12/22/2018","10:24:00","4485","293","26.4","0.017","-0.01","88.5","89.7","89.2","58.0","58.1","58.1","0.70","1.10","0.93","0","0","1"
"12/22/2018","10:24:00","4634","289","27.8","0.016","0.00","89.7","92.6","91.4","58.0","58.2","58.1","0.70","1.10","0.90","0","0","1"
"12/22/2018","10:24:00","4784","286","28.8","0.012","-0.04","95.1","95.9","95.5","58.1","58.3","58.2","0.80","1.00","0.90","0","0","1"
