"Julian Date","Event Date","Event Time","Altitude","Wind Direction","Wind Speed","Wind Shear","Temperature","Dew Point","Pressure","Relative Humidity","AbsoluteHumidity","Density","IndexOfRefraction","VelocityOfSound","SaturationVaporPressure","PrecipitableWater"
"20137","05/16/2020","15:00:00","1000","45","28.5","0.036","21.7","20.6","977.59","94","17.86","1144.19","362","673","24.30","6"
"20137","05/16/2020","15:00:00","2000","45","29.6","0.002","19.5","18.6","943.91","95","15.87","1114.00","344","670","21.43","11"
"20137","05/16/2020","15:00:00","3000","35","24.1","0.012","18.2","17.2","911.21","94","14.55","1080.70","329","668","19.57","16"
"20137","05/16/2020","15:00:00","4000","34","22.9","0.002","16.1","14.4","879.40","90","12.30","1051.68","309","665","16.42","20"
"20137","05/16/2020","15:00:00","5000","34","20.6","0.004","15.0","13.1","848.54","88","11.31","1019.01","296","664","15.05","23"
"20137","05/16/2020","15:00:00","6000","43","22.2","0.006","13.9","12.8","818.63","93","11.13","986.75","288","663","14.74","27"
"20137","05/16/2020","15:00:00","7000","46","23.5","0.003","12.8","11.7","789.67","93","10.43","955.71","277","661","13.77","30"
"20137","05/16/2020","15:00:00","8000","43","20.8","0.005","11.3","9.6","761.61","89","9.10","927.24","263","659","11.95","33"
"20137","05/16/2020","15:00:00","9000","36","22.9","0.006","8.8","5.2","734.31","78","6.78","903.18","244","656","8.83","35"
"20137","05/16/2020","15:00:00","10000","29","20.7","0.006","7.0","1.2","707.78","67","5.16","877.01","228","654","6.67","37"
"20137","05/16/2020","15:00:00","11000","26","20.4","0.002","6.2","-0.1","682.10","64","4.72","847.78","219","653","6.08","39"
"20137","05/16/2020","15:00:00","12000","20","22.9","0.006","5.3","-2.8","657.26","56","3.87","819.96","207","651","4.97","40"
"20137","05/16/2020","15:00:00","13000","15","20.1","0.006","3.6","-5.3","633.23","52","3.23","795.15","198","649","4.13","41"
"20137","05/16/2020","15:00:00","14000","9","18.5","0.004","1.8","-8.1","609.90","48","2.62","771.18","189","647","3.33","42"
"20137","05/16/2020","15:00:00","15000","7","14.0","0.008","0.0","-5.6","587.27","66","3.20","747.06","187","645","4.03","43"
"20137","05/16/2020","15:00:00","16000","2","12.4","0.003","-2.3","-6.3","565.33","74","3.05","725.30","181","642","3.82","44"
"20137","05/16/2020","15:00:00","17000","3","13.3","0.002","-4.1","-9.5","544.07","66","2.39","703.04","172","640","2.97","45"
"20137","05/16/2020","15:00:00","18000","36","8.9","0.013","-5.8","-7.9","523.46","85","2.73","680.46","170","638","3.37","45"
"20137","05/16/2020","15:00:00","19000","66","6.0","0.008","-7.1","-9.6","503.54","83","2.41","657.89","162","637","2.96","46"
"20137","05/16/2020","15:00:00","20000","343","7.6","0.015","-9.9","-17.2","484.22","55","1.30","640.02","151","633","1.58","47"
"20137","05/16/2020","15:00:00","21000","346","10.2","0.004","-11.3","-22.0","465.48","41","0.86","618.77","144","631","1.04","47"
"20137","05/16/2020","15:00:00","22000","350","8.4","0.003","-12.7","-21.8","447.38","46","0.89","597.88","139","629","1.07","47"
"20137","05/16/2020","15:00:00","23000","25","5.6","0.008","-14.6","-20.5","429.88","60","1.00","578.63","136","627","1.19","48"
"20137","05/16/2020","15:00:00","24000","62","6.1","0.006","-16.2","-20.8","412.92","68","0.98","559.25","131","625","1.17","48"
"20137","05/16/2020","15:00:00","25000","82","5.1","0.004","-18.0","-25.2","396.55","53","0.67","541.04","125","623","0.79","48"
"20137","05/16/2020","15:00:00","26000","112","5.9","0.005","-20.6","-27.6","380.70","53","0.54","524.82","121","620","0.63","48"
"20137","05/16/2020","15:00:00","27000","113","2.4","0.006","-22.8","-31.0","365.34","47","0.40","508.15","116","617","0.46","48"
"20137","05/16/2020","15:00:00","28000","127","5.0","0.005","-25.1","-34.5","350.46","41","0.28","492.05","112","614","0.32","49"
"20137","05/16/2020","15:00:00","29000","142","4.9","0.002","-27.4","-39.1","336.06","32","0.18","476.30","107","611","0.20","49"
"20137","05/16/2020","15:00:00","30000","121","6.1","0.004","-29.7","-43.6","322.12","24","0.11","460.89","103","608","0.12","49"
"20137","05/16/2020","15:00:00","31000","131","6.1","0.002","-31.8","-49.7","308.66","15","0.06","445.50","100","606","0.06","49"
"20137","05/16/2020","15:00:00","32000","182","4.8","0.008","-34.3","-51.4","295.62","16","0.05","431.15","96","602","0.05","49"
"20137","05/16/2020","15:00:00","33000","237","5.6","0.008","-36.5","-59.2","283.01","7","0.02","416.61","93","600","0.02","49"
"20137","05/16/2020","15:00:00","34000","228","4.3","0.003","-38.8","-62.5","270.83","6","0.01","402.60","90","597","0.01","49"
"20137","05/16/2020","15:00:00","35000","207","1.2","0.005","-41.3","-64.2","259.05","6","0.01","389.24","87","594","0.01","49"
"20137","05/16/2020","15:00:00","36000","248","5.2","0.007","-44.1","-66.5","247.66","6","0.01","376.68","84","590","0.01","49"
"20137","05/16/2020","15:00:00","37000","237","8.1","0.005","-46.9","-68.4","236.65","7","0.01","364.39","81","586","0.01","49"
"20137","05/16/2020","15:00:00","38000","258","8.2","0.005","-49.6","-69.9","225.99","7","0.00","352.19","78","583","0.00","49"
"20137","05/16/2020","15:00:00","39000","255","10.5","0.004","-52.3","-71.5","215.70","8","0.00","340.26","76","579","0.00","49"
"20137","05/16/2020","15:00:00","40000","238","12.5","0.007","-54.8","-73.5","205.77","8","0.00","328.31","73","576","0.00","49"
"20137","05/16/2020","15:00:00","41000","279","13.7","0.016","-56.7","-73.6","196.20","10","0.00","315.79","70","573","0.00","49"
"20137","05/16/2020","15:00:00","42000","251","9.1","0.012","-58.9","-75.8","186.99","9","0.00","304.05","68","571","0.00","49"
"20137","05/16/2020","15:00:00","43000","244","12.7","0.007","-61.4","","178.12","","","293.05","65","567","0.00",""
"20137","05/16/2020","15:00:00","44000","247","18.3","0.010","-63.5","","169.57","","","281.78","63","564","0.00",""
"20137","05/16/2020","15:00:00","45000","241","18.3","0.003","-65.5","","161.37","","","270.74","60","562","0.00",""
"20137","05/16/2020","15:00:00","46000","238","26.6","0.014","-66.8","","153.50","","","259.15","58","560","0.00",""
"20137","05/16/2020","15:00:00","47000","252","29.3","0.012","-61.9","","146.09","","","240.93","54","567","0.00",""
"20137","05/16/2020","15:00:00","48000","258","30.9","0.007","-64.6","","139.07","","","232.31","52","563","0.00",""
"20137","05/16/2020","15:00:00","49000","275","31.0","0.015","-63.7","","132.37","","","220.17","49","564","0.00",""
"20137","05/16/2020","15:00:00","50000","257","43.2","0.028","-62.9","","126.01","","","208.79","47","565","0.00",""
"20137","05/16/2020","15:00:00","51000","270","46.5","0.015","-62.3","","119.99","","","198.25","44","566","0.00",""
"20137","05/16/2020","15:00:00","52000","290","37.8","0.029","-62.4","","114.24","","","188.84","42","566","0.00",""
"20137","05/16/2020","15:00:00","53000","285","21.4","0.028","-64.3","","108.75","","","181.40","40","563","0.00",""
"20137","05/16/2020","15:00:00","54000","253","16.9","0.020","-65.8","","103.48","","","173.86","39","561","0.00",""
"20137","05/16/2020","15:00:00","55000","259","11.4","0.010","-67.2","","98.42","","","166.49","37","559","0.00",""
"20137","05/16/2020","15:00:00","56000","282","10.4","0.008","-69.3","","93.58","","","159.94","36","557","0.00",""
"20137","05/16/2020","15:00:00","57000","267","18.8","0.015","-68.6","","88.96","","","151.50","34","557","0.00",""
"20137","05/16/2020","15:00:00","58000","271","18.5","0.002","-67.3","","84.59","","","143.15","32","559","0.00",""
"20137","05/16/2020","15:00:00","59000","247","12.2","0.015","-68.4","","80.43","","","136.86","30","558","0.00",""
"20137","05/16/2020","15:00:00","60000","231","10.4","0.006","-69.8","","76.46","","","130.99","29","556","0.00",""
"20137","05/16/2020","15:00:00","61000","238","15.8","0.009","-68.4","","72.69","","","123.68","28","558","0.00",""
"20137","05/16/2020","15:00:00","62000","234","8.0","0.013","-67.3","","69.12","","","116.97","26","559","0.00",""
