"Event Date","Event Time","Latitude","Longitude","Signal Strength","Event","SemiMajor Axis 50% CI","SemiMinor Axis 50% CI","Ellipse Angle","Sensors"
"05/27/2020","16:17:08.2226562","28.310000","-80.604167","-44.20","Real","0.10","0.10","330","42,44,45,46,47,48,49,50,51"
"05/27/2020","16:17:08.2544556","28.311389","-80.610000","-8.50","Real","0.10","0.10","350","42,51"
"05/27/2020","16:17:08.2544558","28.310278","-80.605833","-8.30","Real","0.20","0.10","309","44,49,50"
"05/27/2020","16:17:08.2801605","28.309444","-80.604722","-16.90","Real","0.10","0.10","326","42,44,45,46,47,48,49,50"
"05/27/2020","16:17:08.3628220","28.308889","-80.603889","-40.20","Real","0.10","0.10","329","42,44,45,46,47,48,49,50"
"05/27/2020","16:17:10.0509389","28.728889","-81.668333","-39.50","Real","0.70","0.10","285","42,44,45,46,47,48,49,50,51"
"05/27/2020","16:17:10.0994310","28.729444","-81.670278","-22.20","Real","1.00","0.10","284","44,45,46,47"
"05/27/2020","16:17:27.7234417","27.864167","-79.189444","-126.70","Real","2.90","0.20","294","42,44,45,46,47,48,49,50,51"
"05/27/2020","16:17:27.7733061","27.835000","-79.180833","-34.60","Real","6.10","0.30","294","42,44,45,46,48,49,50"
"05/27/2020","16:17:29.9075053","28.206389","-80.539722","-25.30","Real","0.20","0.10","315","42,44,45,46,47,48,49,50,51"
"05/27/2020","16:17:29.9335766","28.696389","-81.656389","-25.80","Real","0.80","0.10","283","44,45,46,47,48,49,50"
"05/27/2020","16:17:30.0726903","28.698889","-81.660278","-22.50","Real","1.00","0.10","282","44,45,46,47"
"05/27/2020","16:17:34.4996617","27.401667","-81.404722","-29.40","Real","2.90","0.20","28","42,44,45,46,48,49,50,51"
"05/27/2020","16:17:51.9609381","28.433611","-81.432222","-14.20","Real","0.40","0.10","82","42,44,45,46,47,48,49,50,51"
"05/27/2020","16:17:56.2844340","28.845278","-80.682500","-18.40","Real","0.10","0.10","44","42,44,45,46,47,48,49,50,51"
"05/27/2020","16:17:56.3202503","28.877778","-80.671944","-14.50","Real","0.10","0.10","33","42,45,46,47,48,49,50"
"05/27/2020","16:18:03.4654849","28.714167","-81.190278","-24.10","Real","0.10","0.10","301","42,44,45,47,48,49,50,51"
"05/27/2020","16:18:06.6096924","28.129722","-80.630278","-26.40","Real","0.10","0.10","342","42,44,45,46,47,48,49,50,51"
"05/27/2020","16:18:06.6954458","28.161944","-80.628611","-27.30","Real","0.10","0.10","345","42,44,45,46,47,48,49,50,51"
"05/27/2020","16:18:11.0444421","27.382778","-81.422500","-28.90","Real","4.70","0.30","29","44,45,51"
"05/27/2020","16:18:11.0917432","27.380556","-81.426111","-33.80","Real","4.50","0.30","29","44,45,51"
"05/27/2020","16:18:17.4308209","28.186667","-80.520000","-55.30","Real","0.10","0.10","317","42,44,45,46,47,48,49,50,51"
"05/27/2020","16:18:17.4606225","28.188889","-80.521389","-25.10","Real","0.20","0.10","319","42,44,45,46,47,48,49,50"
"05/27/2020","16:18:17.5265178","28.189722","-80.522778","-26.90","Real","0.20","0.10","317","42,44,45,46,47,48,49,50,51"
"05/27/2020","16:18:17.6578387","28.149444","-80.542778","-20.90","Real","0.20","0.10","326","42,44,45,46,47,48,49,50,51"
"05/27/2020","16:18:36.9139252","28.305000","-81.405556","-19.70","Real","0.40","0.10","71","44,45,46,47,48,49,50,51"
"05/27/2020","16:18:36.9610712","28.324722","-81.410278","-15.00","Real","0.80","0.10","76","44,45,46"
"05/27/2020","16:18:36.9840934","28.304722","-81.406389","-18.80","Real","0.50","0.10","69","44,45,46,47,48,50"
"05/27/2020","16:18:37.0352266","28.293056","-81.426389","-15.80","Real","0.70","0.10","72","44,45,46,50"
"05/27/2020","16:18:37.1167480","28.282222","-81.419444","-15.40","Real","0.90","0.10","71","44,45,46"
"05/27/2020","16:18:37.5458456","28.282778","-81.418333","-31.00","Real","0.40","0.10","70","42,44,45,46,47,48,49,50,51"
"05/27/2020","16:18:37.6161083","28.282222","-81.419444","-30.70","Real","0.40","0.10","70","42,44,45,46,47,48,49,50,51"
"05/27/2020","16:18:39.5188147","28.773611","-81.709167","-24.10","Real","0.90","0.10","287","44,45,46,47,48,49,50"
"05/27/2020","16:18:39.5747780","28.740556","-81.603611","-15.00","Real","6.70","0.40","288","45,46"
"05/27/2020","16:18:40.5095209","27.953889","-80.511111","-84.10","Real","0.60","0.10","341","42,44,45,46,47,48,49,50,51"
"05/27/2020","16:18:44.2884912","28.424444","-81.374167","-11.20","Real","0.70","0.10","87","44,45,46"
"05/27/2020","16:18:44.3247637","28.423889","-81.380278","-11.00","Real","0.70","0.10","87","44,45,46"
"05/27/2020","16:18:44.5158198","28.423889","-81.378611","-16.10","Real","0.50","0.10","86","44,45,46,48,50"
"05/27/2020","16:18:44.8536378","28.346111","-80.599444","-54.60","Real","0.10","0.10","322","42,44,45,46,47,48,49,50,51"
"05/27/2020","16:18:44.8840246","28.345556","-80.599167","-19.00","Real","0.10","0.10","308","44,45,46,47,48,49,50"
"05/27/2020","16:18:57.2224637","28.838611","-81.323611","-16.30","Real","0.40","0.10","303","44,45,46,47,48,49,50"
"05/27/2020","16:19:09.4468206","28.850278","-80.690556","-27.00","Real","0.20","0.10","11","42,44,45,46,47,48,49,50,51"
"05/27/2020","16:19:09.5043656","28.847778","-80.669722","-14.30","Real","0.10","0.10","35","42,44,45,46,47,48,49,50,51"
"05/27/2020","16:19:09.7919061","28.838056","-80.656667","-23.40","Real","0.10","0.10","45","42,44,45,46,47,48,49,50,51"
"05/27/2020","16:19:12.2335413","28.883889","-81.113611","-13.00","Real","0.30","0.10","316","45,46,47,48"
"05/27/2020","16:19:12.3080617","28.872778","-81.068333","-8.90","Real","0.40","0.10","311","46,47"
"05/27/2020","16:19:16.9667341","28.267500","-80.513333","-17.60","Real","0.10","0.10","294","42,44,45,46,47,48,49,50,51"
"05/27/2020","16:19:17.0817735","28.246944","-80.526389","-13.30","Real","0.20","0.10","317","42,44,45,46,48,49,50,51"
"05/27/2020","16:19:17.0923171","28.328611","-80.416667","-9.00","Real","0.20","0.10","287","42,49,50,51"
"05/27/2020","16:19:22.6138724","28.342222","-80.570556","-22.50","Real","0.10","0.10","306","42,44,45,46,47,48,49,50,51"
"05/27/2020","16:19:22.7217004","28.342500","-80.572222","-9.00","Real","0.10","0.10","270","42,48,49,50,51"
"05/27/2020","16:19:23.6840840","28.732222","-81.660556","-25.30","Real","0.80","0.10","285","42,44,45,46,47,48,49,50"
"05/27/2020","16:19:23.7434882","28.731111","-81.656111","-31.20","Real","0.70","0.10","285","42,44,45,46,47,48,49,50,51"
"05/27/2020","16:19:47.1154105","28.756111","-81.719722","-24.20","Real","1.00","0.10","286","44,45,46,47,48"
"05/27/2020","16:19:47.1501638","28.756389","-81.717222","-33.50","Real","0.80","0.10","286","42,44,45,46,47,48,49,50,51"
"05/27/2020","16:19:47.1897650","28.758056","-81.723056","-44.40","Real","0.80","0.10","286","42,44,45,46,47,48,49,50,51"
"05/27/2020","16:19:47.2170731","28.755000","-81.713889","-27.50","Real","0.90","0.10","286","44,45,46,47,48,49,50"
