"Event Date","Event Time","Latitude","Longitude","Signal Strength","Event","SemiMajor Axis 50% CI","SemiMinor Axis 50% CI","Ellipse Angle","Sensors"
"06/13/2020","05:23:57.7587507","28.044722","-82.870556","-76.00","Real","5.50","0.30","74","42,44,45,46,47,48,49,50,51"
"06/13/2020","05:25:01.7723954","28.092778","-82.869444","-221.00","Real","2.90","0.20","76","42,44,45,46,47,48,49,50,51"
"06/13/2020","05:25:27.1746423","27.934722","-82.961389","-64.40","Real","7.20","0.40","71","44,45,46,47,49,50"
"06/13/2020","05:26:35.6567701","27.908889","-82.966389","-66.10","Real","7.80","0.40","71","44,45,46,47,50"
"06/13/2020","05:29:41.7156528","28.058611","-83.001389","-68.50","Real","5.50","0.30","76","42,44,45,46,47,48,49,50,51"
"06/13/2020","05:29:47.4586257","28.103889","-83.117500","-71.40","Real","6.00","0.30","78","44,45,46,47,48,49,50,51"
"06/13/2020","05:30:31.7559274","28.093889","-82.983611","-89.10","Real","9.90","0.40","74","42,44,45,46,47,48,49,50,51"
"06/13/2020","05:31:34.0244034","28.122222","-83.135833","-84.40","Real","5.70","0.30","78","42,44,45,46,47,48,49,50,51"
"06/13/2020","05:33:49.1620218","28.101944","-83.029722","-53.70","Real","7.70","0.40","76","44,45,47,50"
"06/13/2020","05:35:03.5537646","28.076667","-83.079722","-112.60","Real","5.70","0.30","76","42,44,45,46,47,48,49,50,51"
"06/13/2020","05:35:15.6870116","28.814722","-83.282222","-73.70","Real","6.80","0.40","277","44,45,46,47,48,49,50"
"06/13/2020","05:36:31.4761773","27.805000","-83.068889","-82.70","Real","6.20","0.30","70","42,44,45,46,47,48,49,50,51"
"06/13/2020","05:36:42.8353642","28.065000","-83.135833","-81.90","Real","5.80","0.30","77","42,44,45,46,47,48,49,50,51"
"06/13/2020","05:39:13.3897516","28.817778","-83.269444","-78.50","Real","6.30","0.30","277","42,44,45,46,47,48,49,50,51"
"06/13/2020","05:39:48.2348852","28.058333","-83.133889","-80.50","Real","7.00","0.40","76","42,44,45,46,47,48,49,50,51"
"06/13/2020","05:42:05.8814192","28.011944","-82.758889","-78.60","Real","8.30","0.40","70","42,44,45,46,47,48,49,50,51"
"06/13/2020","05:43:14.3795235","27.818056","-83.011944","-111.10","Real","5.30","0.30","70","42,44,45,46,47,48,49,50,51"
"06/13/2020","05:45:19.6890473","28.066389","-83.136389","-87.90","Real","5.80","0.30","77","42,44,45,46,47,48,49,50,51"
"06/13/2020","05:46:12.5841788","28.071667","-83.092500","-64.70","Real","6.00","0.30","77","42,44,45,46,47,48,49,50,51"
"06/13/2020","05:48:15.3555294","27.809444","-82.983056","-145.80","Real","4.70","0.30","69","42,44,45,46,47,48,49,50,51"
"06/13/2020","05:50:22.4557799","28.060278","-83.067500","-71.60","Real","5.70","0.30","76","42,44,45,46,47,48,49,50,51"
"06/13/2020","05:50:23.0459014","28.046944","-83.121389","-70.80","Real","6.40","0.30","76","44,45,46,47,48,50,51"
"06/13/2020","05:51:39.9400147","28.036667","-82.856111","-98.50","Real","4.30","0.20","75","42,44,45,46,47,48,49,50,51"
"06/13/2020","05:56:34.8049916","27.963611","-82.981389","-124.90","Real","4.60","0.30","73","42,44,45,46,47,48,49,50,51"
"06/13/2020","05:56:35.1252115","27.954722","-83.012500","-89.20","Real","6.20","0.30","73","42,44,45,46,47,48,49,50,51"
"06/13/2020","05:57:56.8754098","28.141111","-83.082500","-78.50","Real","6.40","0.30","78","42,44,45,46,47,48,49,50,51"
"06/13/2020","05:58:23.4625025","28.041389","-83.143889","-73.50","Real","6.30","0.30","76","44,45,46,47,48,49,50,51"
"06/13/2020","05:59:16.1764628","28.191389","-83.115000","-156.70","Real","6.40","0.30","82","42,44,45,46,48,49,50,51"
"06/13/2020","05:59:28.1628900","28.405000","-82.888611","-65.00","Real","4.50","0.30","86","42,44,45,46,47,48,49,50,51"
"06/13/2020","06:02:23.0602208","28.141389","-83.210000","-129.10","Real","5.30","0.30","79","42,44,45,46,47,48,49,50,51"
"06/13/2020","06:03:22.2567040","27.910000","-82.907778","-158.20","Real","7.60","0.30","69","42,44,45,46,47,48,49,50,51"
"06/13/2020","06:03:58.1863898","28.153056","-83.133889","-78.30","Real","5.80","0.30","79","42,44,45,46,47,48,49,50,51"
"06/13/2020","06:06:24.7626055","28.160000","-83.107222","-207.50","Real","7.70","0.40","77","42,44,45,46,47,48,49,50,51"
"06/13/2020","06:06:25.4046513","28.150556","-83.183889","-77.40","Real","6.10","0.30","79","42,44,45,46,47,48,49,50,51"
"06/13/2020","06:07:49.7255460","27.809167","-83.076111","-102.30","Real","5.80","0.30","70","42,44,45,46,47,48,49,50,51"
"06/13/2020","06:08:25.3429041","27.968333","-83.065000","-56.80","Real","6.60","0.30","74","44,45,46,47,48,50,51"
"06/13/2020","06:09:13.8959288","28.069444","-82.961389","-133.90","Real","4.20","0.30","76","42,44,45,46,47,48,49,50,51"
"06/13/2020","06:09:14.0130822","28.076944","-82.924167","-64.80","Real","5.10","0.30","76","42,44,45,46,47,48,49,50,51"
"06/13/2020","06:10:45.9412285","27.831389","-83.068889","-94.30","Real","7.10","0.30","70","42,44,45,46,47,48,49,50,51"
"06/13/2020","06:10:46.1882866","28.053333","-83.021667","-66.00","Real","6.90","0.40","75","44,45,46,47,48,50"
"06/13/2020","06:12:42.4593073","27.959167","-83.136944","-75.30","Real","7.60","0.40","73","42,44,45,46,47,48,49,50,51"
"06/13/2020","06:14:25.9756256","27.782778","-83.129444","-75.70","Real","6.80","0.30","70","44,45,46,47,48,49,50,51"
"06/13/2020","06:14:26.2432373","27.796111","-83.081667","-90.80","Real","6.10","0.30","70","42,44,45,46,47,48,49,50,51"
"06/13/2020","06:17:07.0882544","27.816944","-83.050556","-69.10","Real","9.00","0.40","69","44,45,46,47,50"
"06/13/2020","06:19:22.2112147","27.917222","-83.319722","-80.70","Real","7.50","0.30","74","44,45,46,47,48,49,50,51"
"06/13/2020","06:21:53.6527019","27.833889","-83.059444","-71.30","Real","6.50","0.30","71","44,45,46,47,49,50,51"
"06/13/2020","06:33:19.2802206","28.077778","-82.852778","-140.10","Real","4.00","0.30","75","42,44,45,46,47,48,49,50,51"
"06/13/2020","06:34:55.5055500","28.066667","-83.142500","-77.70","Real","6.00","0.30","77","42,44,45,46,47,48,49,50,51"
"06/13/2020","06:37:21.4845971","27.645278","-83.248889","-113.80","Real","7.20","0.30","67","42,44,45,46,47,48,49,50,51"
"06/13/2020","06:38:13.7386380","27.667778","-83.198889","-74.50","Real","7.80","0.30","68","44,45,46,47,48,49,50,51"
"06/13/2020","06:40:52.9049158","27.656111","-83.246944","-169.90","Real","6.20","0.30","68","42,44,45,46,47,48,49,50,51"
"06/13/2020","06:40:53.3214095","27.691667","-83.183333","-80.10","Real","7.20","0.30","68","42,44,45,46,47,48,49,50,51"
"06/13/2020","06:43:03.1547122","27.674722","-83.165556","-211.10","Real","5.70","0.30","68","44,45,46,47,48,50,51"
"06/13/2020","06:43:03.2681452","27.675000","-83.160278","-107.10","Real","6.60","0.30","67","42,44,45,46,47,48,49,50,51"
"06/13/2020","06:44:05.3845168","27.636667","-83.223889","-101.60","Real","7.20","0.30","67","42,44,45,46,47,48,49,50,51"
"06/13/2020","06:44:54.4775503","27.697778","-83.116389","-106.80","Real","6.30","0.30","68","42,44,45,46,47,48,49,50,51"
"06/13/2020","06:45:16.7709162","27.808889","-83.053333","-69.30","Real","9.10","0.40","69","44,45,46,47,50"
"06/13/2020","06:47:14.8849672","27.666111","-83.205278","-122.10","Real","6.60","0.30","68","42,44,45,46,47,48,49,50,51"
"06/13/2020","06:48:21.2494582","27.682778","-83.123056","-120.80","Real","6.10","0.30","67","42,44,45,46,47,48,49,50,51"
"06/13/2020","06:52:53.1042071","27.486667","-83.348611","-119.30","Real","8.10","0.30","65","42,44,45,46,47,48,49,50,51"
"06/13/2020","06:55:47.3879003","27.908889","-82.991667","-87.20","Real","5.40","0.30","72","42,44,45,46,47,48,49,50,51"
"06/13/2020","06:56:27.1476098","27.841111","-83.090556","-112.20","Real","5.60","0.30","71","42,44,45,46,47,48,49,50,51"
"06/13/2020","07:00:02.6021944","27.895556","-83.084167","-73.30","Real","7.20","0.30","73","44,45,46,47,48,51"
"06/13/2020","07:01:17.8157053","27.920833","-83.116667","-111.40","Real","5.60","0.30","73","42,44,45,46,47,48,49,50,51"
"06/13/2020","07:01:52.6803237","27.813056","-83.085000","-189.50","Real","4.70","0.30","70","42,44,45,46,47,48,49,50,51"
"06/13/2020","07:01:52.7545770","27.838889","-83.008056","-57.20","Real","6.30","0.30","70","42,44,45,46,47,48,49,50,51"
"06/13/2020","07:02:58.0047405","27.811667","-83.037778","-119.80","Real","5.30","0.30","70","42,44,45,46,47,48,49,50,51"
"06/13/2020","07:02:58.0872345","27.792500","-83.088333","-78.70","Real","6.40","0.30","70","42,44,45,46,47,48,49,50,51"
"06/13/2020","07:04:36.0194099","27.853889","-82.950833","-144.20","Real","4.40","0.30","70","42,44,45,46,47,48,49,50,51"
"06/13/2020","07:04:36.0554445","27.838889","-82.994167","-49.80","Real","6.30","0.30","70","42,44,45,46,47,48,49,50,51"
"06/13/2020","07:16:13.1412837","27.698611","-82.988333","-121.00","Real","5.40","0.30","67","42,44,45,46,47,48,49,50,51"
"06/13/2020","07:18:26.1105477","28.103889","-82.526111","126.50","Real","2.50","0.20","74","42,44,45,46,47,48,49,50,51"
"06/13/2020","07:21:45.5574046","27.873056","-82.958333","-82.60","Real","6.70","0.30","70","42,44,45,46,47,48,49,50,51"
"06/13/2020","07:22:40.3612525","28.164444","-82.803889","71.40","Real","4.20","0.20","78","42,44,45,46,47,48,49,50,51"
"06/13/2020","07:22:40.4707770","28.236667","-82.533056","86.90","Real","5.90","0.30","75","42,44,45,46,47,48,49,50,51"
"06/13/2020","07:22:40.4729295","28.141111","-82.688056","140.60","Real","2.90","0.20","77","42,44,45,46,47,48,49,50,51"
"06/13/2020","07:25:17.6087824","27.646111","-83.142778","-100.70","Real","6.90","0.30","67","42,44,45,46,47,48,49,50,51"
"06/13/2020","07:28:01.8257323","27.942778","-82.506111","83.50","Real","3.20","0.20","69","42,44,45,46,47,48,49,50,51"
"06/13/2020","07:28:01.9620629","28.077222","-82.502500","85.50","Real","3.00","0.20","73","42,44,45,46,47,48,49,50,51"
"06/13/2020","07:32:17.3397740","27.707500","-83.232500","-107.20","Real","7.00","0.30","69","42,44,45,46,47,48,49,50,51"
"06/13/2020","07:35:39.1539456","27.777778","-83.074167","-117.00","Real","5.60","0.30","69","42,44,45,46,47,48,49,50,51"
"06/13/2020","07:36:08.7770409","27.768611","-83.138611","-110.90","Real","6.80","0.30","69","42,44,45,46,47,48,49,50,51"
"06/13/2020","07:39:02.2862157","27.867500","-83.027500","-54.60","Real","6.30","0.30","71","42,44,45,46,47,48,49,50,51"
"06/13/2020","07:40:07.8660442","27.323889","-83.365278","-105.80","Real","9.30","0.40","62","42,44,45,46,47,48,49,50,51"
"06/13/2020","07:41:41.6661184","27.680833","-83.237778","-106.90","Real","7.20","0.30","68","42,44,45,46,47,48,49,50,51"
"06/13/2020","07:41:41.8075702","27.667778","-83.213056","-112.50","Real","6.80","0.30","68","42,44,45,46,47,48,49,50,51"
"06/13/2020","07:43:20.9406413","28.241667","-83.461389","66.30","Real","7.70","0.30","83","42,44,45,46,47,48,49,50,51"
"06/13/2020","07:43:39.2896591","27.794167","-83.075278","-140.70","Real","5.20","0.30","70","42,44,45,46,47,48,49,50,51"
