"Event Date","Event Time","Mill Number","One Minute Mean"
"01/23/2021","09:37:00","1","152"
"01/23/2021","09:37:00","2","83"
"01/23/2021","09:37:00","4","134"
"01/23/2021","09:37:00","5","36"
"01/23/2021","09:37:00","6","163"
"01/23/2021","09:37:00","8","163"
"01/23/2021","09:37:00","9","163"
"01/23/2021","09:37:00","11","190"
"01/23/2021","09:37:00","12","165"
"01/23/2021","09:37:00","14","129"
"01/23/2021","09:37:00","15","112"
"01/23/2021","09:37:00","16","168"
"01/23/2021","09:37:00","17","200"
"01/23/2021","09:37:00","18","138"
"01/23/2021","09:37:00","19","191"
"01/23/2021","09:37:00","20","136"
"01/23/2021","09:37:00","21","87"
"01/23/2021","09:37:00","22","43"
"01/23/2021","09:37:00","24","153"
"01/23/2021","09:37:00","25","107"
"01/23/2021","09:37:00","26","164"
"01/23/2021","09:37:00","27","-38"
"01/23/2021","09:37:00","29","75"
"01/23/2021","09:37:00","30","168"
"01/23/2021","09:37:00","31","32"
"01/23/2021","09:37:00","32","64"
"01/23/2021","09:37:00","34","181"
"01/23/2021","09:38:00","1","151"
"01/23/2021","09:38:00","2","77"
"01/23/2021","09:38:00","4","136"
"01/23/2021","09:38:00","5","39"
"01/23/2021","09:38:00","6","166"
"01/23/2021","09:38:00","8","159"
"01/23/2021","09:38:00","9","164"
"01/23/2021","09:38:00","11","189"
"01/23/2021","09:38:00","12","175"
"01/23/2021","09:38:00","14","121"
"01/23/2021","09:38:00","15","107"
"01/23/2021","09:38:00","16","169"
"01/23/2021","09:38:00","17","196"
"01/23/2021","09:38:00","18","142"
"01/23/2021","09:38:00","19","198"
"01/23/2021","09:38:00","20","144"
"01/23/2021","09:38:00","21","84"
"01/23/2021","09:38:00","22","36"
"01/23/2021","09:38:00","24","162"
"01/23/2021","09:38:00","25","112"
"01/23/2021","09:38:00","26","159"
"01/23/2021","09:38:00","27","-40"
"01/23/2021","09:38:00","29","66"
"01/23/2021","09:38:00","30","168"
"01/23/2021","09:38:00","31","30"
"01/23/2021","09:38:00","32","63"
"01/23/2021","09:38:00","34","183"
"01/23/2021","09:39:00","1","153"
"01/23/2021","09:39:00","2","75"
"01/23/2021","09:39:00","4","137"
"01/23/2021","09:39:00","5","42"
"01/23/2021","09:39:00","6","171"
"01/23/2021","09:39:00","8","160"
"01/23/2021","09:39:00","9","158"
"01/23/2021","09:39:00","11","185"
"01/23/2021","09:39:00","12","178"
"01/23/2021","09:39:00","14","124"
"01/23/2021","09:39:00","15","107"
"01/23/2021","09:39:00","16","165"
"01/23/2021","09:39:00","17","205"
"01/23/2021","09:39:00","18","149"
"01/23/2021","09:39:00","19","199"
"01/23/2021","09:39:00","20","140"
"01/23/2021","09:39:00","21","84"
"01/23/2021","09:39:00","22","34"
"01/23/2021","09:39:00","24","162"
"01/23/2021","09:39:00","25","110"
"01/23/2021","09:39:00","26","148"
"01/23/2021","09:39:00","27","-41"
"01/23/2021","09:39:00","29","46"
"01/23/2021","09:39:00","30","169"
"01/23/2021","09:39:00","31","37"
"01/23/2021","09:39:00","32","62"
"01/23/2021","09:39:00","34","182"
"01/23/2021","09:40:00","30","169"
"01/23/2021","09:40:00","31","45"
"01/23/2021","09:40:00","32","62"
"01/23/2021","09:40:00","34","180"
"01/23/2021","09:40:00","1","154"
"01/23/2021","09:40:00","2","75"
"01/23/2021","09:40:00","4","139"
"01/23/2021","09:40:00","5","45"
"01/23/2021","09:40:00","6","171"
"01/23/2021","09:40:00","8","159"
"01/23/2021","09:40:00","9","157"
"01/23/2021","09:40:00","11","183"
"01/23/2021","09:40:00","12","182"
"01/23/2021","09:40:00","14","125"
"01/23/2021","09:40:00","15","107"
"01/23/2021","09:40:00","16","167"
