"Event Date","Event Time","Tower Measurement Location","Height","Time Interval","Avg Wind Direction","Avg Wind Speed","Peak Wind Direction","Peak Wind Speed","Peak Wind Direction 10 Min","Peak Wind Speed 10 Min","Deviation","Temp","Temperature Difference","Dew Point","Relative Humidity","Barometric Pressure"
"03/04/2021","04:25:00","SLC 40","150","5","","","","","","","","","","","",""
"03/04/2021","04:25:00","SLC 40","151","5","","","","","","","","","","","",""
"03/04/2021","04:25:00","SLC 40","152","5","","","","","","","","","","","",""
"03/04/2021","04:25:00","SLC 41","50","5","","","","","","","","","","","",""
"03/04/2021","04:25:00","SLC 41","51","5","","","","","","","","","","","",""
"03/04/2021","04:25:00","SLC 41","230","5","","","","","","","","","","","",""
"03/04/2021","04:25:00","SLC 41","231","5","","","","","","","","","","","",""
"03/04/2021","04:25:00","0313 NE  SW","6","5","","","","","","","","56.7","","53.2","88","1016.0"
"03/04/2021","04:25:00","0313 NE  SW","12","5","327","5","331","12","334","14","41","","","","",""
"03/04/2021","04:25:00","0313 NE  SW","54","5","350","10","348","17","348","17","9","56.2","-0.5","55.4","97",""
"03/04/2021","04:25:00","0313 NE  SW","162","5","346","13","345","18","345","18","7","","","","",""
"03/04/2021","04:25:00","0313 NE  SW","204","5","344","14","347","18","347","18","7","56.0","","53.4","91",""
"03/04/2021","04:25:00","0313 NE  SW","295","5","","","","","","","","","","","",""
"03/04/2021","04:25:00","0313 NE  SW","394","5","0","25","0","29","0","29","6","","","","",""
"03/04/2021","04:25:00","0313 NE  SW","492","5","","","","","","","","","","","94",""
"03/04/2021","04:25:00","0313 SW  SW","6","5","","","","","","","","57.0","","55.3","94",""
"03/04/2021","04:25:00","0313 SW  SW","12","5","353","6","346","11","15","13","17","","","","",""
"03/04/2021","04:25:00","0313 SW  SW","54","5","357","10","0","17","0","17","12","56.5","-0.5","54.2","92",""
"03/04/2021","04:25:00","0313 SW  SW","162","5","359","14","0","19","0","19","12","","","","",""
"03/04/2021","04:25:00","0313 SW  SW","204","5","354","15","357","19","357","19","10","56.1","","54.4","94",""
"03/04/2021","04:25:00","0313 SW  SW","295","5","","","","","","","","","","","",""
"03/04/2021","04:25:00","0313 SW  SW","394","5","","","","","","","","","","","",""
"03/04/2021","04:25:00","0313 SW  SW","492","5","","","","","","","","54.7","","","",""
"03/04/2021","04:25:00","0002 SE  NW","6","5","","","","","","","","58.2","","54.4","87",""
"03/04/2021","04:25:00","0002 SE  NW","12","5","344","6","345","9","344","10","16","","","","",""
"03/04/2021","04:25:00","0002 SE  NW","54","5","349","9","4","13","4","13","13","57.7","-0.5","54.2","88",""
"03/04/2021","04:25:00","0002 SE  NW","90","5","349","10","344","15","355","16","11","","","","",""
"03/04/2021","04:25:00","0002 SE  NW","145","5","349","11","351","16","351","16","10","","","","",""
"03/04/2021","04:25:00","0002 SE  NW","204","5","353","12","352","17","357","17","10","57.2","","54.9","92",""
"03/04/2021","04:25:00","0002 NW  NW","6","5","","","","","","","","58.3","","55.1","89",""
"03/04/2021","04:25:00","0002 NW  NW","12","5","346","6","343","10","343","10","16","","","","",""
"03/04/2021","04:25:00","0002 NW  NW","54","5","348","9","352","14","352","14","13","57.4","-0.9","53.9","88",""
"03/04/2021","04:25:00","0002 NW  NW","90","5","355","10","2","14","0","15","11","","","","",""
"03/04/2021","04:25:00","0002 NW  NW","145","5","353","11","346","16","346","16","11","","","","",""
"03/04/2021","04:25:00","0002 NW  NW","204","5","355","12","360","16","357","17","7","56.9","","54.0","90",""
"03/04/2021","04:25:00","0006 SE  NW","6","5","","","","","","","","58.0","","55.4","91",""
"03/04/2021","04:25:00","0006 SE  NW","12","5","335","3","336","7","341","8","29","","","","",""
"03/04/2021","04:25:00","0006 SE  NW","54","5","347","7","0","12","353","13","17","57.7","-0.3","","",""
