"Event Date","Event Time","Mill Number","One Minute Mean"
"01/21/2022","15:00:00","1","375"
"01/21/2022","15:00:00","2","236"
"01/21/2022","15:00:00","4","247"
"01/21/2022","15:00:00","5","170"
"01/21/2022","15:00:00","6","178"
"01/21/2022","15:00:00","7","187"
"01/21/2022","15:00:00","8","186"
"01/21/2022","15:00:00","9","175"
"01/21/2022","15:00:00","10","193"
"01/21/2022","15:00:00","11","186"
"01/21/2022","15:00:00","12","183"
"01/21/2022","15:00:00","14","261"
"01/21/2022","15:00:00","15","178"
"01/21/2022","15:00:00","16","192"
"01/21/2022","15:00:00","17","205"
"01/21/2022","15:00:00","18","171"
"01/21/2022","15:00:00","19","173"
"01/21/2022","15:00:00","20","154"
"01/21/2022","15:00:00","21","124"
"01/21/2022","15:00:00","22","117"
"01/21/2022","15:00:00","24","163"
"01/21/2022","15:00:00","25","180"
"01/21/2022","15:00:00","26","171"
"01/21/2022","15:00:00","27","77"
"01/21/2022","15:00:00","28","162"
"01/21/2022","15:00:00","29","156"
"01/21/2022","15:00:00","30","183"
"01/21/2022","15:00:00","31","167"
"01/21/2022","15:00:00","32","153"
"01/21/2022","15:00:00","34","185"
"01/21/2022","15:00:00","35","191"
"01/21/2022","15:01:00","1","371"
"01/21/2022","15:01:00","2","238"
"01/21/2022","15:01:00","4","248"
"01/21/2022","15:01:00","5","164"
"01/21/2022","15:01:00","6","173"
"01/21/2022","15:01:00","7","194"
"01/21/2022","15:01:00","8","192"
"01/21/2022","15:01:00","9","185"
"01/21/2022","15:01:00","10","189"
"01/21/2022","15:01:00","11","194"
"01/21/2022","15:01:00","12","177"
"01/21/2022","15:01:00","14","285"
"01/21/2022","15:01:00","15","181"
"01/21/2022","15:01:00","16","188"
"01/21/2022","15:01:00","17","201"
"01/21/2022","15:01:00","18","173"
"01/21/2022","15:01:00","19","190"
"01/21/2022","15:01:00","20","161"
"01/21/2022","15:01:00","21","120"
"01/21/2022","15:01:00","22","121"
"01/21/2022","15:01:00","24","171"
"01/21/2022","15:01:00","25","180"
"01/21/2022","15:01:00","26","189"
"01/21/2022","15:01:00","27","30"
"01/21/2022","15:01:00","28","170"
"01/21/2022","15:01:00","29","159"
"01/21/2022","15:01:00","30","190"
"01/21/2022","15:01:00","31","170"
"01/21/2022","15:01:00","32","163"
"01/21/2022","15:01:00","34","178"
"01/21/2022","15:01:00","35","199"
"01/21/2022","15:02:00","1","385"
"01/21/2022","15:02:00","2","221"
"01/21/2022","15:02:00","4","255"
"01/21/2022","15:02:00","5","158"
"01/21/2022","15:02:00","6","168"
"01/21/2022","15:02:00","7","195"
"01/21/2022","15:02:00","8","184"
"01/21/2022","15:02:00","9","194"
"01/21/2022","15:02:00","10","181"
"01/21/2022","15:02:00","11","192"
"01/21/2022","15:02:00","12","173"
"01/21/2022","15:02:00","14","280"
"01/21/2022","15:02:00","15","174"
"01/21/2022","15:02:00","16","169"
"01/21/2022","15:02:00","17","209"
"01/21/2022","15:02:00","18","174"
"01/21/2022","15:02:00","19","183"
"01/21/2022","15:02:00","20","152"
"01/21/2022","15:02:00","21","117"
"01/21/2022","15:02:00","22","131"
"01/21/2022","15:02:00","24","164"
"01/21/2022","15:02:00","25","178"
"01/21/2022","15:02:00","26","169"
"01/21/2022","15:02:00","27","-34"
"01/21/2022","15:02:00","28","169"
"01/21/2022","15:02:00","29","161"
"01/21/2022","15:02:00","30","188"
"01/21/2022","15:02:00","31","168"
"01/21/2022","15:02:00","32","164"
"01/21/2022","15:02:00","34","166"
"01/21/2022","15:02:00","35","207"
"01/21/2022","15:03:00","1","372"
"01/21/2022","15:03:00","2","222"
"01/21/2022","15:03:00","4","252"
"01/21/2022","15:03:00","5","154"
"01/21/2022","15:03:00","6","175"
"01/21/2022","15:03:00","7","195"
"01/21/2022","15:03:00","8","183"
"01/21/2022","15:03:00","9","206"
"01/21/2022","15:03:00","10","183"
"01/21/2022","15:03:00","11","185"
"01/21/2022","15:03:00","12","176"
"01/21/2022","15:03:00","14","273"
"01/21/2022","15:03:00","15","165"
"01/21/2022","15:03:00","16","166"
"01/21/2022","15:03:00","17","198"
"01/21/2022","15:03:00","18","170"
"01/21/2022","15:03:00","19","168"
"01/21/2022","15:03:00","20","152"
"01/21/2022","15:03:00","21","115"
"01/21/2022","15:03:00","22","136"
"01/21/2022","15:03:00","24","156"
"01/21/2022","15:03:00","25","161"
"01/21/2022","15:03:00","26","164"
"01/21/2022","15:03:00","27","-30"
"01/21/2022","15:03:00","28","177"
"01/21/2022","15:03:00","29","171"
"01/21/2022","15:03:00","30","197"
"01/21/2022","15:03:00","31","161"
"01/21/2022","15:03:00","32","151"
"01/21/2022","15:03:00","34","173"
"01/21/2022","15:03:00","35","193"
"01/21/2022","15:04:00","1","350"
"01/21/2022","15:04:00","2","225"
"01/21/2022","15:04:00","4","264"
"01/21/2022","15:04:00","5","157"
"01/21/2022","15:04:00","6","172"
"01/21/2022","15:04:00","7","190"
"01/21/2022","15:04:00","8","190"
"01/21/2022","15:04:00","9","210"
"01/21/2022","15:04:00","10","188"
"01/21/2022","15:04:00","11","183"
"01/21/2022","15:04:00","12","170"
"01/21/2022","15:04:00","14","270"
"01/21/2022","15:04:00","15","163"
"01/21/2022","15:04:00","16","169"
"01/21/2022","15:04:00","17","195"
