"Event Date","Event Time","Tower Measurement Location","Height","Time Interval","Avg Wind Direction","Avg Wind Speed","Peak Wind Direction","Peak Wind Speed","Peak Wind Direction 10 Min","Peak Wind Speed 10 Min","Deviation","Temp","Temperature Difference","Dew Point","Relative Humidity","Barometric Pressure"
"04/01/2022","12:25:00","0006 NW  SE","6","5","","","","","","","","69.8","","69.5","99",""
"04/01/2022","12:25:00","0006 NW  SE","12","5","164","2","192","6","192","6","64","","","","",""
"04/01/2022","12:25:00","0006 NW  SE","54","5","183","6","166","9","166","9","55","69.9","0.1","","",""
"04/01/2022","12:25:00","0006 NW  SE","162","5","187","9","193","11","193","11","49","","","","",""
"04/01/2022","12:25:00","0006 NW  SE","204","5","193","9","200","12","200","12","45","69.6","","","",""
"04/01/2022","12:25:00","SLC 40","150","5","","","","","","","","","","","",""
"04/01/2022","12:25:00","SLC 40","151","5","","","","","","","","","","","",""
"04/01/2022","12:25:00","SLC 40","152","5","","","","","","","","","","","",""
"04/01/2022","12:25:00","SLC 41","50","5","182","3","192","4","178","4","30","","","","",""
"04/01/2022","12:25:00","SLC 41","51","5","196","3","206","4","211","5","35","","","","",""
"04/01/2022","12:25:00","SLC 41","230","5","222","6","219","7","215","10","19","","","","",""
"04/01/2022","12:25:00","SLC 41","231","5","234","6","235","8","235","9","21","","","","",""
"04/01/2022","12:25:00","0313 NE  SW","6","5","","","","","","","","70.1","","69.8","99","1014.3"
"04/01/2022","12:25:00","0313 NE  SW","12","5","166","1","167","2","167","2","26","","","","",""
"04/01/2022","12:25:00","0313 NE  SW","54","5","191","3","186","4","186","4","15","70.3","0.2","70.0","99",""
"04/01/2022","12:25:00","0313 NE  SW","162","5","209","8","213","9","213","9","7","","","","",""
"04/01/2022","12:25:00","0313 NE  SW","204","5","215","8","216","9","216","9","8","71.8","","71.8","100",""
"04/01/2022","12:25:00","0313 NE  SW","295","5","","","","","","","","","","","",""
"04/01/2022","12:25:00","0313 NE  SW","394","5","228","7","242","7","232","7","6","","","","",""
"04/01/2022","12:25:00","0313 NE  SW","492","5","","","","","","","","","","","98",""
"04/01/2022","12:25:00","0006 SE  SE","6","5","","","","","","","","70.2","","69.9","99",""
"04/01/2022","12:25:00","0006 SE  SE","12","5","173","2","162","6","162","6","62","","","","",""
"04/01/2022","12:25:00","0006 SE  SE","54","5","176","6","191","9","191","9","54","69.5","-0.7","69.2","99",""
"04/01/2022","12:25:00","0006 SE  SE","162","5","191","9","206","11","206","11","48","","","","",""
