"Event Date","Event Time","Mill Number","One Minute Mean"
"05/19/2022","18:54:00","1","61"
"05/19/2022","18:54:00","2","41"
"05/19/2022","18:54:00","4","54"
"05/19/2022","18:54:00","5","29"
"05/19/2022","18:54:00","6","30"
"05/19/2022","18:54:00","7","28"
"05/19/2022","18:54:00","8","49"
"05/19/2022","18:54:00","9","42"
"05/19/2022","18:54:00","10","30"
"05/19/2022","18:54:00","11","31"
"05/19/2022","18:54:00","12","35"
"05/19/2022","18:54:00","14","45"
"05/19/2022","18:54:00","15","31"
"05/19/2022","18:54:00","16","53"
"05/19/2022","18:54:00","17","26"
"05/19/2022","18:54:00","18","24"
"05/19/2022","18:54:00","19","29"
"05/19/2022","18:54:00","20","29"
"05/19/2022","18:54:00","21","25"
"05/19/2022","18:54:00","22","21"
"05/19/2022","18:54:00","24","31"
"05/19/2022","18:54:00","25","38"
"05/19/2022","18:54:00","26","50"
"05/19/2022","18:54:00","28","46"
"05/19/2022","18:54:00","29","43"
"05/19/2022","18:54:00","30","36"
"05/19/2022","18:54:00","31","67"
"05/19/2022","18:54:00","32","65"
"05/19/2022","18:54:00","34","44"
"05/19/2022","18:54:00","35","44"
"05/19/2022","18:55:00","1","62"
"05/19/2022","18:55:00","2","40"
"05/19/2022","18:55:00","4","52"
"05/19/2022","18:55:00","5","27"
"05/19/2022","18:55:00","6","31"
"05/19/2022","18:55:00","7","29"
"05/19/2022","18:55:00","8","51"
"05/19/2022","18:55:00","9","46"
"05/19/2022","18:55:00","10","29"
"05/19/2022","18:55:00","11","34"
"05/19/2022","18:55:00","12","36"
"05/19/2022","18:55:00","14","44"
"05/19/2022","18:55:00","15","30"
"05/19/2022","18:55:00","16","58"
"05/19/2022","18:55:00","17","27"
"05/19/2022","18:55:00","18","24"
"05/19/2022","18:55:00","19","27"
"05/19/2022","18:55:00","20","29"
"05/19/2022","18:55:00","21","24"
"05/19/2022","18:55:00","22","21"
"05/19/2022","18:55:00","24","31"
"05/19/2022","18:55:00","25","45"
"05/19/2022","18:55:00","26","52"
"05/19/2022","18:55:00","28","43"
"05/19/2022","18:55:00","29","43"
"05/19/2022","18:55:00","30","38"
"05/19/2022","18:55:00","31","75"
"05/19/2022","18:55:00","32","69"
"05/19/2022","18:55:00","34","47"
"05/19/2022","18:55:00","35","43"
"05/19/2022","18:56:00","1","53"
"05/19/2022","18:56:00","2","43"
"05/19/2022","18:56:00","4","54"
"05/19/2022","18:56:00","5","26"
"05/19/2022","18:56:00","6","32"
"05/19/2022","18:56:00","7","28"
"05/19/2022","18:56:00","8","45"
"05/19/2022","18:56:00","9","50"
"05/19/2022","18:56:00","10","27"
"05/19/2022","18:56:00","11","33"
"05/19/2022","18:56:00","12","35"
"05/19/2022","18:56:00","14","44"
"05/19/2022","18:56:00","15","30"
"05/19/2022","18:56:00","16","60"
"05/19/2022","18:56:00","17","25"
"05/19/2022","18:56:00","18","24"
"05/19/2022","18:56:00","19","28"
"05/19/2022","18:56:00","20","29"
"05/19/2022","18:56:00","21","24"
"05/19/2022","18:56:00","22","20"
"05/19/2022","18:56:00","24","32"
"05/19/2022","18:56:00","25","59"
"05/19/2022","18:56:00","26","60"
"05/19/2022","18:56:00","28","45"
"05/19/2022","18:56:00","29","49"
"05/19/2022","18:56:00","30","39"
"05/19/2022","18:56:00","31","77"
"05/19/2022","18:56:00","32","62"
"05/19/2022","18:56:00","34","48"
"05/19/2022","18:56:00","35","39"
"05/19/2022","18:57:00","1","56"
"05/19/2022","18:57:00","2","45"
"05/19/2022","18:57:00","4","57"
"05/19/2022","18:57:00","5","28"
"05/19/2022","18:57:00","6","29"
"05/19/2022","18:57:00","7","30"
"05/19/2022","18:57:00","8","46"
"05/19/2022","18:57:00","9","44"
"05/19/2022","18:57:00","10","27"
"05/19/2022","18:57:00","11","32"
"05/19/2022","18:57:00","12","36"
"05/19/2022","18:57:00","14","41"
"05/19/2022","18:57:00","15","31"
"05/19/2022","18:57:00","16","56"
"05/19/2022","18:57:00","17","26"
"05/19/2022","18:57:00","18","24"
"05/19/2022","18:57:00","19","30"
"05/19/2022","18:57:00","20","29"
"05/19/2022","18:57:00","21","27"
"05/19/2022","18:57:00","22","19"
"05/19/2022","18:57:00","24","31"
"05/19/2022","18:57:00","25","69"
"05/19/2022","18:57:00","26","52"
"05/19/2022","18:57:00","28","44"
"05/19/2022","18:57:00","29","53"
"05/19/2022","18:57:00","30","38"
"05/19/2022","18:57:00","31","79"
