"Julian Date","Event Date","Event Time","Altitude","Wind Direction","Wind Speed","Wind Shear","Temperature","Dew Point","Pressure","Relative Humidity","AbsoluteHumidity","Density","IndexOfRefraction","VelocityOfSound","SaturationVaporPressure","PrecipitableWater"
"22159","06/08/2022","18:03:00","16","50","8.0","0.000","29.0","22.0","1015.40","66","18.97","1159.20","369","681","26.44","0"
"22159","06/08/2022","18:03:00","1000","70","6.7","0.005","25.6","21.4","981.67","78","18.48","1133.49","362","677","25.48","6"
"22159","06/08/2022","18:03:00","2000","314","2.2","0.014","25.0","18.6","948.41","68","15.61","1098.68","337","676","21.48","11"
"22159","06/08/2022","18:03:00","3000","299","1.0","0.002","22.8","16.2","916.08","66","13.46","1070.17","319","673","18.38","15"
"22159","06/08/2022","18:03:00","4000","274","2.5","0.003","20.3","15.2","884.58","73","12.77","1042.38","309","670","17.30","19"
"22159","06/08/2022","18:03:00","5000","283","6.4","0.007","17.8","13.7","853.90","77","11.71","1015.32","297","667","15.72","23"
"22159","06/08/2022","18:03:00","6000","289","7.4","0.002","15.4","12.5","824.04","83","10.91","988.25","287","664","14.53","27"
"22159","06/08/2022","18:03:00","7000","280","7.0","0.002","13.4","10.6","794.98","83","9.69","960.62","274","662","12.81","30"
"22159","06/08/2022","18:03:00","8000","273","10.1","0.006","11.9","8.0","766.78","77","8.15","932.17","258","660","10.72","33"
"22159","06/08/2022","18:03:00","9000","289","8.0","0.006","10.9","3.8","739.41","61","6.11","903.15","239","658","8.01","35"
"22159","06/08/2022","18:03:00","10000","301","6.3","0.004","8.7","2.2","712.88","64","5.51","877.80","230","656","7.17","37"
"22159","06/08/2022","18:03:00","11000","274","3.7","0.006","7.1","-3.6","687.11","46","3.61","851.95","212","653","4.67","38"
"22159","06/08/2022","18:03:00","12000","290","4.7","0.003","5.2","-5.1","662.10","47","3.26","826.70","205","651","4.19","39"
"22159","06/08/2022","18:03:00","13000","283","3.6","0.002","3.3","-8.7","637.83","41","2.48","802.27","195","649","3.17","40"
"22159","06/08/2022","18:03:00","14000","310","6.8","0.007","1.7","-12.0","614.30","35","1.92","777.48","185","647","2.44","41"
"22159","06/08/2022","18:03:00","15000","301","9.7","0.005","-0.3","-16.9","591.49","27","1.30","754.44","176","644","1.63","41"
"22159","06/08/2022","18:03:00","16000","289","7.8","0.004","-1.8","-14.3","569.39","38","1.61","730.05","173","643","2.02","42"
"22159","06/08/2022","18:03:00","17000","212","4.8","0.014","-4.1","-15.4","547.96","41","1.49","708.63","168","640","1.85","42"
"22159","06/08/2022","18:03:00","18000","173","8.9","0.010","-5.5","-21.4","527.21","27","0.90","685.69","159","638","1.11","42"
"22159","06/08/2022","18:03:00","19000","166","10.1","0.003","-6.4","-38.5","507.14","6","0.18","662.23","149","637","0.22","43"
"22159","06/08/2022","18:03:00","20000","190","6.3","0.008","-8.4","-34.5","487.74","10","0.27","641.64","145","634","0.32","43"
"22159","06/08/2022","18:03:00","21000","153","5.2","0.006","-10.3","-34.9","468.95","11","0.26","621.38","140","632","0.31","43"
"22159","06/08/2022","18:03:00","22000","125","2.0","0.006","-11.9","-36.8","450.75","11","0.21","600.95","135","630","0.26","43"
"22159","06/08/2022","18:03:00","23000","158","4.8","0.006","-13.6","-41.7","433.16","7","0.13","581.33","130","628","0.15","43"
"22159","06/08/2022","18:03:00","24000","108","7.9","0.010","-15.5","-36.1","416.14","15","0.23","562.53","127","626","0.28","43"
"22159","06/08/2022","18:03:00","25000","97","9.7","0.004","-17.4","-40.0","399.67","12","0.16","544.33","122","623","0.18","43"
"22159","06/08/2022","18:03:00","26000","97","14.6","0.008","-19.0","-58.9","383.74","2","0.02","526.01","117","621","0.02","43"
"22159","06/08/2022","18:03:00","27000","106","13.7","0.004","-21.5","-63.6","368.33","1","0.01","509.91","114","618","0.01","43"
"22159","06/08/2022","18:03:00","28000","103","13.0","0.002","-23.1","-62.2","353.43","1","0.01","492.41","110","616","0.01","43"
"22159","06/08/2022","18:03:00","29000","123","13.4","0.008","-25.4","-64.3","339.02","1","0.01","476.71","106","614","0.01","43"
"22159","06/08/2022","18:03:00","30000","93","14.2","0.012","-28.0","-63.6","325.06","2","0.01","461.94","103","610","0.01","43"
