"Event Date","Event Time","Latitude","Longitude","Signal Strength","Event","SemiMajor Axis 50% CI","SemiMinor Axis 50% CI","Ellipse Angle","Sensors"
"06/19/2022","00:27:05.3146278","29.363333","-82.353889","-184.10","Real","4.20","0.40","302","42,44,48,49,50,51"
"06/19/2022","00:27:05.3794697","29.381667","-82.383333","-72.30","Real","6.60","0.50","301","42,44,45,46,47,48,49,50,51"
"06/19/2022","00:27:05.4093294","29.375556","-82.374167","-57.40","Real","7.70","0.60","302","42,44,45,46,47,48,49,50,51"
"06/19/2022","00:36:10.8050408","28.942500","-82.199444","64.80","Real","3.50","0.40","288","42,44,45,46,47,48,49,50,51"
"06/19/2022","00:38:15.2327114","29.047500","-81.932500","20.70","Real","5.00","0.50","298","42,44,45,46,47,48"
"06/19/2022","00:47:59.5836343","29.060000","-81.822500","-31.50","Real","3.20","0.40","301","42,44,45,46,47,48,49,50,51"
"06/19/2022","00:49:39.1279382","29.109167","-81.787778","-37.00","Real","2.90","0.40","304","42,44,45,46,47,48,49,50"
"06/19/2022","00:49:58.6282222","29.048889","-81.902500","-45.70","Real","2.80","0.30","298","42,44,45,46,47,48,49,50,51"
"06/19/2022","00:50:46.6626459","29.039444","-81.778611","-56.30","Real","1.80","0.30","300","42,44,45,46,47,48,49,50,51"
"06/19/2022","00:50:46.7897669","29.025278","-81.716667","-22.20","Real","4.40","0.50","298","42,45,46,47"
"06/19/2022","00:51:36.9014894","29.055833","-81.879444","-22.70","Real","6.80","0.70","295","42,45,46,47"
"06/19/2022","00:52:04.6565721","29.026389","-81.800833","-46.20","Real","2.20","0.30","299","42,44,45,46,47,48,49,50,51"
"06/19/2022","00:52:53.8588438","28.994444","-81.748056","-41.00","Real","2.00","0.30","299","42,44,45,46,47,48,49,50,51"
"06/19/2022","00:53:27.4642769","29.044722","-81.792500","-33.20","Real","2.90","0.40","301","42,44,45,46,47,48,49,50"
"06/19/2022","00:53:27.5457577","29.061111","-81.822222","-26.60","Real","5.10","0.60","298","42,45,46,47"
"06/19/2022","00:53:50.8968327","28.996667","-81.759444","10.50","Real","4.10","0.50","299","42,44,45,46,47,48,50"
"06/19/2022","00:54:19.6000049","29.007778","-81.777778","11.60","Real","8.70","0.70","295","45,46,47"
"06/19/2022","00:54:37.5470821","29.022778","-81.829167","17.90","Real","4.20","0.50","299","42,44,45,46,47,48,50"
"06/19/2022","00:55:15.4067232","29.025556","-81.835833","-37.80","Real","2.80","0.40","298","42,44,45,46,47,48,49,50,51"
"06/19/2022","00:55:15.7510867","29.026389","-81.831389","-26.00","Real","3.60","0.40","299","42,44,45,46,47,48"
"06/19/2022","00:56:05.6664065","29.018056","-81.835278","-33.30","Real","3.00","0.40","298","42,44,45,46,47,48,49,50"
"06/19/2022","00:56:05.7304173","29.012500","-81.836667","-29.90","Real","3.30","0.40","298","42,44,45,46,47,48"
"06/19/2022","00:56:05.7762474","29.013889","-81.833333","-33.10","Real","2.90","0.40","298","42,44,45,46,47,48,49,50"
"06/19/2022","00:56:05.9152263","28.999722","-81.806667","-56.00","Real","2.00","0.30","296","42,44,45,46,47,48,49,50,51"
"06/19/2022","00:56:06.0361888","29.010278","-81.834167","-29.60","Real","3.10","0.40","298","42,44,45,46,47,48,49,50,51"
"06/19/2022","00:56:43.6968841","29.015000","-81.811667","-23.80","Real","8.40","0.80","291","42,46,47"
"06/19/2022","00:56:55.2061150","29.072222","-81.787500","-28.30","Real","4.60","0.50","299","42,45,46,47"
"06/19/2022","00:56:55.3852757","29.069444","-81.791944","-26.80","Real","4.70","0.50","299","42,45,46,47,48"
"06/19/2022","00:57:40.2497004","29.018056","-81.801389","-26.40","Real","4.70","0.60","296","42,45,46,47"
"06/19/2022","00:57:40.2912551","29.027222","-81.829722","-37.00","Real","2.80","0.40","299","42,44,45,46,47,48,49,50,51"
"06/19/2022","00:58:31.7846192","29.016667","-81.805278","-35.30","Real","2.70","0.40","299","42,44,45,46,47,48,49,50"
"06/19/2022","00:58:31.8485402","29.041944","-81.834722","-23.20","Real","3.90","0.40","300","42,44,45,46,47,48,49"
"06/19/2022","00:58:31.9360809","28.989722","-81.788056","-26.00","Real","4.50","0.50","294","42,45,46,47"
"06/19/2022","01:00:14.5169533","29.036389","-81.720556","-26.10","Real","2.80","0.40","302","42,44,45,46,47,48,49,50,51"
"06/19/2022","01:00:54.1764361","28.958056","-81.725556","-46.10","Real","1.70","0.30","298","42,44,45,46,47,48,49,50,51"
"06/19/2022","01:01:18.7981098","29.106667","-81.741111","-51.70","Real","2.00","0.30","305","42,44,45,46,47,48,49,50,51"
"06/19/2022","01:03:43.5476706","29.035556","-81.833611","14.70","Real","8.10","0.70","295","45,46,47,48"
"06/19/2022","01:04:24.7465086","29.038889","-81.734444","-45.60","Real","2.00","0.30","302","42,44,45,46,47,48,49,50,51"
"06/19/2022","01:07:22.1557337","29.003889","-81.735556","18.10","Real","5.20","0.60","296","42,45,46,47"
"06/19/2022","01:09:15.0625123","29.007222","-81.768333","-25.90","Real","4.30","0.50","296","42,45,46,47"
"06/19/2022","01:10:21.1138917","28.965000","-81.743333","-23.50","Real","2.80","0.40","298","42,44,45,46,47,48,49,50"
"06/19/2022","01:10:21.1751191","28.984722","-81.757778","-27.20","Real","2.90","0.40","299","42,44,45,46,47"
"06/19/2022","01:11:39.4531125","28.995556","-81.750000","-57.30","Real","2.00","0.30","296","42,44,45,46,47,48,49,50,51"
"06/19/2022","01:11:59.0976770","28.976944","-81.727222","18.20","Real","5.90","0.50","302","42,44,48,49,50,51"
"06/19/2022","01:13:12.8195819","29.012222","-81.637222","-24.40","Real","2.40","0.40","303","42,44,45,46,47,48"
"06/19/2022","01:14:26.1321627","28.994722","-81.725278","-22.20","Real","4.30","0.50","296","42,45,46,47"
"06/19/2022","01:14:26.1877709","28.994722","-81.711667","-22.00","Real","4.10","0.50","296","42,45,46,47"
"06/19/2022","01:15:12.0187591","28.973889","-81.722778","-33.00","Real","2.20","0.30","299","42,44,45,46,47,48,49,50"
"06/19/2022","01:27:59.9374706","28.884167","-81.664722","-41.10","Real","1.40","0.20","295","42,44,45,46,47,48,49,50,51"
"06/19/2022","01:35:45.4155607","28.922222","-81.645000","-27.50","Real","1.90","0.30","298","42,44,45,46,47,48,49,50"
"06/19/2022","01:35:45.4924277","28.924722","-81.639722","-24.80","Real","2.10","0.30","298","42,44,45,46,47,48"
"06/19/2022","01:35:45.5696608","28.918889","-81.630556","-26.40","Real","1.90","0.30","298","42,44,45,46,47,48,49,50"
"06/19/2022","01:35:45.6870995","28.927778","-81.646944","-61.80","Real","1.00","0.20","298","42,44,45,46,47,48,49,50,51"
"06/19/2022","01:35:45.8102988","28.918611","-81.627222","-20.70","Real","3.00","0.40","294","42,45,46,47"
"06/19/2022","01:37:59.9966255","28.890278","-81.671389","-76.30","Real","0.90","0.20","295","42,44,45,46,47,48,49,50,51"
"06/19/2022","01:38:00.0440654","28.888333","-81.675278","-41.00","Real","1.50","0.30","295","42,44,45,47,48,49,50,51"
"06/19/2022","01:38:00.0602260","28.880000","-81.646944","-19.30","Real","3.20","0.50","290","42,45,46,47"
"06/19/2022","01:44:12.1345192","28.896111","-81.620556","-31.80","Real","1.50","0.30","297","42,44,45,46,47,48,49,50,51"
"06/19/2022","01:44:12.1976190","28.908889","-81.620556","-36.50","Real","1.40","0.20","298","42,44,45,46,47,48,49,50,51"
"06/19/2022","01:54:55.6602758","28.859167","-81.602500","-15.40","Real","3.20","0.50","290","42,45,46,47"
"06/19/2022","02:13:53.6266312","28.801667","-81.553889","13.60","Real","1.80","0.30","292","42,44,45,46,47,48,49,50"
"06/19/2022","02:17:59.7324411","28.740000","-81.435278","10.90","Real","2.80","0.40","299","42,44,45,46,47,48,49,50"
"06/19/2022","03:02:39.2273198","29.373611","-80.780278","-23.30","Real","3.10","0.30","1","42,45,46,47,48,49,50"
"06/19/2022","03:14:27.4511279","29.403333","-80.811111","-39.00","Real","2.20","0.30","360","42,44,45,46,47,48,49,50,51"
"06/19/2022","03:14:39.0863176","29.437500","-80.834444","-33.50","Real","2.90","0.30","358","42,44,45,46,47,48,49,50,51"
"06/19/2022","03:15:57.3135615","29.493889","-80.797778","-37.90","Real","3.00","0.30","0","42,44,45,46,47,48,49,50,51"
"06/19/2022","03:18:19.8571206","29.449167","-80.799722","-56.60","Real","1.80","0.20","0","42,44,45,46,47,48,49,50,51"
"06/19/2022","03:19:25.9139641","29.432778","-80.805000","-71.70","Real","1.40","0.20","0","42,44,45,46,47,48,49,50,51"
"06/19/2022","03:21:08.0042109","30.198889","-81.843611","-95.10","Real","10.00","0.60","331","42,44,45,46,47,48,49,50,51"
"06/19/2022","03:26:53.4554758","29.249722","-80.575278","-21.60","Real","1.80","0.30","16","42,45,46,47,48,49,50"
"06/19/2022","03:28:29.3671606","29.236944","-80.484722","-33.80","Real","1.20","0.20","22","42,44,45,46,47,48,49,50,51"
"06/19/2022","03:28:29.4276259","29.228056","-80.515278","-27.00","Real","1.40","0.20","21","42,44,45,46,47,48,49,50,51"
"06/19/2022","03:31:01.5443000","29.337500","-80.846667","-39.20","Real","1.70","0.20","357","42,44,45,46,47,48,49,50,51"
"06/19/2022","03:32:43.3342066","29.382778","-80.746389","-70.60","Real","1.20","0.20","4","42,44,45,46,47,48,49,50,51"
"06/19/2022","03:32:43.3599642","29.412778","-80.745000","-17.40","Real","7.80","0.70","1","42,47"
"06/19/2022","03:32:43.3808724","29.383056","-80.744444","-22.60","Real","3.30","0.40","4","42,45,46,47,48,49"
"06/19/2022","03:32:43.4051666","29.394444","-80.745000","-20.10","Real","3.70","0.40","3","42,44,45,46,47,48,49,50"
"06/19/2022","03:32:43.4365261","29.386667","-80.746944","-19.80","Real","3.60","0.40","3","42,44,45,46,47,48,49,50"
"06/19/2022","03:32:43.4828873","29.385833","-80.746111","-22.10","Real","4.50","0.50","4","42,46,47,48"
"06/19/2022","03:32:43.5718829","29.357500","-80.745556","-46.30","Real","4.50","0.50","357","42,44,50,51"
"06/19/2022","03:32:43.9079308","29.393333","-80.745278","-24.10","Real","3.00","0.30","3","42,44,45,46,47,48,49,50,51"
"06/19/2022","03:33:57.1568457","29.240278","-80.492500","55.60","Real","2.00","0.20","12","42,44,45,46,48,49,50,51"
"06/19/2022","03:36:02.8242846","29.409722","-80.728611","-40.50","Real","2.10","0.30","4","42,44,45,46,47,48,49,50,51"
"06/19/2022","03:36:02.8614394","29.380556","-80.730000","-23.10","Real","3.40","0.40","3","42,46,47,48,49,50"
"06/19/2022","03:36:02.9316389","29.396944","-80.727222","-62.30","Real","1.40","0.20","5","42,44,45,46,47,48,49,50,51"
"06/19/2022","03:36:03.0951714","29.396667","-80.728889","-29.40","Real","2.70","0.30","4","42,44,45,46,47,48,49,50"
"06/19/2022","03:44:01.1619280","29.223889","-80.632778","-15.40","Real","2.10","0.30","12","42,44,45,46,47,48,49,50"
"06/19/2022","03:44:01.2045515","29.208611","-80.635000","-19.00","Real","1.70","0.30","14","42,45,46,47,48,49,50"
"06/19/2022","03:45:02.1126050","29.199444","-80.638611","-41.20","Real","0.80","0.20","14","42,44,45,46,47,48,49,50,51"
"06/19/2022","03:45:02.1786706","29.194167","-80.626111","-28.30","Real","1.10","0.20","15","42,44,45,46,47,48,49,50,51"
