"Event Date","Event Time","Profiler","Height","Speed","Direction","1","2","3","4","5","1","2","3","4","5","1","2","3","4","5"
"06/19/2022","00:30:00","RWP0002","0.100","","","","0.40","","","","","1","","","","","-22","","",""
"06/19/2022","00:30:00","RWP0002","0.200","","","0.30","2.30","","","","2","2","","","","-26","-23","","",""
"06/19/2022","00:30:00","RWP0002","0.300","","","0.20","1.60","","","","2","2","","","","-34","-39","","",""
"06/19/2022","00:30:00","RWP0002","0.400","","","-0.30","1.90","","","","2","1","","","","-35","-41","","",""
"06/19/2022","00:30:00","RWP0002","0.500","","","0.50","0.90","","","","1","2","","","","-31","-35","","",""
"06/19/2022","00:30:00","RWP0002","0.600","","","0.40","1.50","","","","2","2","","","","-32","-35","","",""
"06/19/2022","00:30:00","RWP0002","0.700","","","0.30","1.10","","","","2","1","","","","-38","-35","","",""
"06/19/2022","00:30:00","RWP0002","0.800","","","0.10","0.60","","","","3","3","","","","-34","-33","","",""
"06/19/2022","00:30:00","RWP0002","0.900","","","0.30","0.60","","","","2","4","","","","-28","-28","","",""
"06/19/2022","00:30:00","RWP0002","1.000","","","0.20","0.70","","","","2","4","","","","-24","-26","","",""
"06/19/2022","00:30:00","RWP0002","1.100","","","0.40","0.50","","","","1","4","","","","-31","-27","","",""
"06/19/2022","00:30:00","RWP0002","1.200","","","0.00","0.50","","","","2","4","","","","-35","-29","","",""
"06/19/2022","00:30:00","RWP0002","1.300","","","0.10","0.50","","","","2","4","","","","-31","-30","","",""
"06/19/2022","00:30:00","RWP0002","1.400","","","0.10","0.60","","","","2","3","","","","-34","-30","","",""
"06/19/2022","00:30:00","RWP0002","1.500","","","-0.10","0.40","","","","1","4","","","","-29","-31","","",""
"06/19/2022","00:30:00","RWP0002","1.600","","","0.00","0.40","","","","2","2","","","","-26","-30","","",""
"06/19/2022","00:30:00","RWP0002","1.700","","","0.00","0.30","","","","2","2","","","","-31","-32","","",""
"06/19/2022","00:30:00","RWP0002","1.800","","","-0.20","0.30","","","","1","2","","","","-33","-32","","",""
"06/19/2022","00:30:00","RWP0002","1.900","","","0.00","0.20","","","","1","2","","","","-32","-32","","",""
"06/19/2022","00:30:00","RWP0002","2.000","","","","-0.30","","","","","1","","","","","-31","","",""
"06/19/2022","00:30:00","RWP0002","2.100","","","","0.60","","","","","1","","","","","-36","","",""
"06/19/2022","00:30:00","RWP0002","2.200","","","","0.20","","","","","2","","","","","-39","","",""
"06/19/2022","00:30:00","RWP0002","2.300","","","","-0.30","","","","","2","","","","","-39","","",""
"06/19/2022","00:30:00","RWP0002","2.400","","","","-1.10","","","","","1","","","","","-35","","",""
"06/19/2022","00:30:00","RWP0002","2.500","","","","","","","","","","","","","","","","",""
"06/19/2022","00:30:00","RWP0002","2.600","","","","","","","","","","","","","","","","",""
"06/19/2022","00:30:00","RWP0002","2.700","","","","","","","","","","","","","","","","",""
"06/19/2022","00:30:00","RWP0002","2.800","","","","","","","","","","","","","","","","",""
"06/19/2022","00:30:00","RWP0002","2.900","","","","","","","","","","","","","","","","",""
"06/19/2022","00:30:00","RWP0002","3.000","","","","","","","","","","","","","","","","",""
"06/19/2022","00:30:00","RWP0002","3.100","","","","","","","","","","","","","","","","",""
"06/19/2022","00:30:00","RWP0002","3.200","","","","","","","","","","","","","","","","",""
"06/19/2022","00:30:00","RWP0002","3.300","","","","","","","","","","","","","","","","",""
"06/19/2022","00:30:00","RWP0002","3.400","","","","","","","","","","","","","","","","",""
"06/19/2022","00:30:00","RWP0002","3.500","","","","","","","","","","","","","","","","",""
"06/19/2022","00:30:00","RWP0002","3.600","","","","","","","","","","","","","","","","",""
"06/19/2022","00:30:00","RWP0002","3.700","","","","","","","","","","","","","","","","",""
"06/19/2022","00:30:00","RWP0002","3.800","","","","","","","","","","","","","","","","",""
"06/19/2022","00:30:00","RWP0002","3.900","","","","","","","","","","","","","","","","",""
"06/19/2022","00:30:00","RWP0002","4.000","","","","","","","","","","","","","","","","",""
"06/19/2022","00:30:00","RWP0002","4.100","","","","","","","","","","","","","","","","",""
"06/19/2022","00:30:00","RWP0002","4.200","","","","","","","","","","","","","","","","",""
"06/19/2022","00:30:00","RWP0002","4.300","","","","","","","","","","","","","","","","",""
"06/19/2022","00:30:00","RWP0002","4.400","","","","","","","","","","","","","","","","",""
"06/19/2022","00:30:00","RWP0002","4.500","","","","","","","","","","","","","","","","",""
"06/19/2022","00:30:00","RWP0002","4.600","","","","","","","","","","","","","","","","",""
"06/19/2022","00:30:00","RWP0002","4.700","","","","","","","","","","","","","","","","",""
"06/19/2022","00:30:00","RWP0002","4.800","","","","","","","","","","","","","","","","",""
"06/19/2022","00:30:00","RWP0002","4.900","","","","","","","","","","","","","","","","",""
"06/19/2022","00:30:00","RWP0002","5.000","","","","","","","","","","","","","","","","",""
"06/19/2022","00:30:00","RWP0003","0.100","6.6","229","","1.60","-0.60","","","","2","2","","","","-6","-4","",""
"06/19/2022","00:30:00","RWP0003","0.200","9.1","220","0.10","2.30","-0.50","","","1","2","2","","","0","-3","-3","",""
"06/19/2022","00:30:00","RWP0003","0.300","8.1","236","0.10","1.80","-1.00","","","1","2","2","","","-24","-20","-18","",""
"06/19/2022","00:30:00","RWP0003","0.400","6.1","266","0.10","0.80","-1.30","","","1","2","2","","","-19","-19","-14","",""
"06/19/2022","00:30:00","RWP0003","0.500","7.0","280","0.10","0.50","-1.70","","","1","2","2","","","-19","-18","-18","",""
"06/19/2022","00:30:00","RWP0003","0.600","6.7","281","0.10","0.50","-1.60","","","1","2","2","","","-9","-9","-10","",""
"06/19/2022","00:30:00","RWP0003","0.700","4.9","281","0.20","0.40","-1.20","","","1","2","2","","","-21","-17","-19","",""
"06/19/2022","00:30:00","RWP0003","0.800","","","0.20","","-1.10","","","2","","4","","","-13","","-13","",""
"06/19/2022","00:30:00","RWP0003","0.900","3.5","299","0.20","0.00","-0.90","","","2","4","4","","","-20","-21","-21","",""
"06/19/2022","00:30:00","RWP0003","1.000","3.1","302","0.20","-0.10","-0.80","","","3","4","4","","","-26","-28","-25","",""
"06/19/2022","00:30:00","RWP0003","1.100","2.6","281","0.30","0.20","-0.60","","","3","4","4","","","-26","-17","-20","",""
"06/19/2022","00:30:00","RWP0003","1.200","2.4","296","0.20","0.00","-0.60","","","3","2","4","","","-18","-17","-16","",""
"06/19/2022","00:30:00","RWP0003","1.300","3.1","320","0.20","-0.30","-0.70","","","3","4","4","","","-20","-17","-16","",""
"06/19/2022","00:30:00","RWP0003","1.400","4.1","333","0.10","-0.60","-0.90","","","2","4","4","","","-31","-19","-23","",""
"06/19/2022","00:30:00","RWP0003","1.500","4.7","327","0.10","-0.60","-1.00","","","2","4","4","","","-22","-22","-22","",""
"06/19/2022","00:30:00","RWP0003","1.600","4.8","329","0.20","-0.60","-1.00","","","2","2","2","","","-12","-14","-15","",""
"06/19/2022","00:30:00","RWP0003","1.700","4.6","332","0.20","-0.60","-1.00","","","2","2","2","","","-16","-13","-16","",""
"06/19/2022","00:30:00","RWP0003","1.800","4.2","338","0.20","-0.70","-0.80","","","2","2","2","","","-20","-14","-19","",""
"06/19/2022","00:30:00","RWP0003","1.900","4.1","349","0.20","-0.80","-0.70","","","2","2","2","","","-23","-19","-20","",""
"06/19/2022","00:30:00","RWP0003","2.000","4.4","0","0.20","-1.00","-0.50","","","2","2","2","","","-20","-21","-20","",""
"06/19/2022","00:30:00","RWP0003","2.100","4.6","360","0.20","-1.00","-0.50","","","1","2","2","","","-21","-22","-22","",""
"06/19/2022","00:30:00","RWP0003","2.200","5.0","3","","-1.10","-0.50","","","","2","2","","","","-24","-24","",""
"06/19/2022","00:30:00","RWP0003","2.300","7.2","0","0.50","-1.60","-0.80","","","1","2","2","","","-35","-32","-31","",""
"06/19/2022","00:30:00","RWP0003","2.400","","","0.80","","-0.70","","","1","","2","","","-36","","-33","",""
"06/19/2022","00:30:00","RWP0003","2.500","","","-0.20","","-0.60","","","2","","2","","","-38","","-33","",""
"06/19/2022","00:30:00","RWP0003","2.600","6.9","353","0.60","-1.40","-1.00","","","2","2","2","","","-36","-35","-34","",""
"06/19/2022","00:30:00","RWP0003","2.700","","","1.40","","","","","2","","","","","-38","","","",""
"06/19/2022","00:30:00","RWP0003","2.800","6.9","350","0.10","-1.40","-1.10","","","2","2","2","","","-36","-33","-31","",""
"06/19/2022","00:30:00","RWP0003","2.900","6.8","350","0.30","-1.40","-1.10","","","2","2","2","","","-34","-32","-30","",""
"06/19/2022","00:30:00","RWP0003","3.000","","","-0.10","-1.30","","","","2","2","","","","-32","-29","","",""
"06/19/2022","00:30:00","RWP0003","3.100","7.1","349","0.40","-1.40","-1.10","","","2","2","2","","","-30","-32","-31","",""
"06/19/2022","00:30:00","RWP0003","3.200","6.1","340","0.10","-1.00","-1.20","","","2","2","2","","","-34","-35","-34","",""
