"Event Date","Event Time","Altitude","Wind Direction","Wind Speed","Wind Shear","WW","S1","S2","S3","N1","N2","N3","WID1","WID2","WID3","G1","G2","QC"
"07/07/2022","09:14:00","1869","170","0.9","0.000","0.00","108.8","111.5","110.4","56.8","56.9","56.9","0.40","0.40","0.38","0","0","1"
"07/07/2022","09:14:00","2019","136","0.9","0.004","0.01","117.4","115.5","116.6","57.2","58.0","57.6","0.40","0.70","0.53","0","0","1"
"07/07/2022","09:14:00","2168","94","2.1","0.011","-0.10","119.2","120.5","119.9","57.3","57.4","57.4","0.50","0.60","0.52","0","0","1"
"07/07/2022","09:14:00","2318","96","1.9","0.002","-0.09","118.6","120.8","119.8","59.0","59.5","59.3","0.40","0.50","0.46","0","0","1"
"07/07/2022","09:14:00","2467","93","2.7","0.005","-0.11","125.8","129.3","127.9","59.1","59.1","59.1","0.40","0.40","0.40","0","0","1"
"07/07/2022","09:14:00","2617","95","2.9","0.002","-0.13","126.5","127.4","126.9","60.3","60.7","60.5","0.40","0.40","0.39","0","0","1"
"07/07/2022","09:14:00","2766","80","3.3","0.006","-0.06","125.2","127.5","126.5","60.3","60.3","60.3","0.40","0.30","0.34","0","0","1"
"07/07/2022","09:14:00","2915","82","3.8","0.003","-0.04","123.6","124.8","124.2","60.3","60.2","60.3","0.40","0.20","0.32","0","0","1"
"07/07/2022","09:14:00","3065","79","3.8","0.001","0.03","118.8","121.4","120.3","60.3","60.2","60.3","0.30","0.20","0.29","0","0","1"
"07/07/2022","09:14:00","3214","79","3.4","0.003","0.06","121.2","121.9","121.6","60.3","60.2","60.2","0.40","0.20","0.30","0","0","1"
"07/07/2022","09:14:00","3364","78","3.2","0.001","0.03","120.0","117.9","119.1","60.3","60.2","60.2","0.40","0.20","0.33","0","0","1"
"07/07/2022","09:14:00","3513","67","3.0","0.004","0.09","116.7","110.3","114.6","60.3","60.2","60.2","0.40","0.20","0.29","0","0","1"
"07/07/2022","09:14:00","3663","71","2.6","0.003","0.07","115.0","115.8","115.4","60.3","60.2","60.3","0.30","0.30","0.31","0","0","1"
"07/07/2022","09:14:00","3812","79","2.4","0.003","0.08","113.7","115.9","114.9","60.3","60.2","60.2","0.50","0.50","0.46","0","0","1"
"07/07/2022","09:14:00","3962","95","4.4","0.014","0.02","113.0","110.7","112.0","60.3","60.2","60.2","0.30","0.20","0.27","0","0","1"
"07/07/2022","09:14:00","4111","96","4.1","0.002","-0.04","115.3","113.6","114.5","60.3","60.2","60.2","0.30","0.20","0.25","0","0","1"
"07/07/2022","09:14:00","4261","86","3.7","0.005","-0.01","119.9","121.2","120.6","60.3","60.2","60.2","0.30","0.20","0.24","0","0","1"
"07/07/2022","09:14:00","4410","95","3.8","0.004","-0.06","112.0","116.6","114.9","60.2","60.1","60.2","0.30","0.30","0.30","0","0","1"
"07/07/2022","09:14:00","4559","98","3.8","0.001","-0.07","122.5","117.2","120.7","60.4","60.2","60.3","0.20","0.30","0.25","0","0","1"
"07/07/2022","09:14:00","4709","98","3.9","0.001","-0.08","118.9","118.1","118.5","60.4","60.2","60.3","0.20","0.30","0.25","0","0","1"
"07/07/2022","09:14:00","4858","98","4.9","0.006","-0.10","114.8","111.9","113.6","60.3","60.2","60.3","0.30","0.30","0.26","0","0","1"
"07/07/2022","09:14:00","5008","100","4.6","0.003","-0.07","112.1","110.7","111.5","60.3","60.2","60.3","0.30","0.40","0.31","0","0","1"
"07/07/2022","09:14:00","5157","85","4.7","0.008","-0.05","108.8","109.1","109.0","60.4","60.2","60.3","0.30","0.30","0.31","0","0","1"
"07/07/2022","09:14:00","5307","72","4.5","0.007","-0.09","115.4","108.5","113.2","60.4","60.2","60.3","0.50","0.30","0.39","0","0","1"
"07/07/2022","09:14:00","5456","62","4.4","0.005","-0.05","120.6","116.1","118.9","60.3","60.2","60.2","0.40","0.30","0.38","0","0","1"
"07/07/2022","09:14:00","5606","71","3.6","0.007","-0.14","114.8","109.6","112.9","60.3","60.1","60.2","0.30","0.30","0.32","0","0","1"
"07/07/2022","09:14:00","5755","85","3.9","0.006","-0.06","118.0","115.8","117.1","60.3","60.2","60.3","0.30","0.20","0.27","0","0","1"
"07/07/2022","09:14:00","5904","86","4.7","0.006","-0.03","112.0","113.6","112.9","60.3","60.2","60.2","0.40","0.30","0.32","0","0","1"
"07/07/2022","09:14:00","6054","89","4.9","0.002","-0.10","105.1","105.0","105.0","60.3","60.2","60.2","0.30","0.30","0.31","0","0","1"
"07/07/2022","09:14:00","6203","89","3.9","0.007","-0.15","105.2","111.0","109.0","60.3","60.2","60.2","0.40","0.50","0.41","0","0","1"
"07/07/2022","09:14:00","6353","91","3.4","0.003","-0.24","116.1","118.1","117.2","60.3","60.2","60.2","0.40","0.40","0.41","0","0","1"
"07/07/2022","09:14:00","6502","84","2.6","0.006","-0.19","105.5","110.1","108.4","60.3","60.2","60.2","0.50","0.30","0.43","0","0","1"
"07/07/2022","09:14:00","6652","69","2.1","0.005","-0.12","105.1","103.6","104.4","60.3","60.2","60.2","0.40","0.40","0.37","0","0","1"
"07/07/2022","09:14:00","6801","68","2.9","0.005","-0.07","107.1","101.8","105.2","60.3","60.2","60.2","0.40","0.30","0.38","0","0","1"
"07/07/2022","09:14:00","6951","59","3.0","0.003","-0.06","106.1","98.4","103.8","60.3","60.2","60.2","0.50","0.30","0.39","0","0","1"
"07/07/2022","09:14:00","7100","8","4.0","0.021","0.03","104.4","107.7","106.4","60.3","60.1","60.2","0.40","0.30","0.33","0","0","1"
"07/07/2022","09:14:00","7250","2","4.2","0.004","0.07","113.0","115.0","114.1","60.2","60.2","60.2","0.30","0.30","0.31","0","0","1"
"07/07/2022","09:14:00","7399","359","4.5","0.002","0.03","111.8","114.8","113.5","60.3","60.1","60.2","0.20","0.30","0.27","0","0","1"
"07/07/2022","09:14:00","7548","3","4.2","0.003","0.00","102.8","101.7","102.3","60.3","60.2","60.2","0.30","0.30","0.32","0","0","1"
"07/07/2022","09:14:00","7698","352","2.9","0.010","0.04","100.3","106.8","104.7","60.3","60.2","60.2","0.40","0.50","0.43","0","0","1"
"07/07/2022","09:14:00","7847","346","3.0","0.002","0.10","103.6","108.0","106.4","60.3","60.2","60.2","0.30","0.50","0.40","0","0","1"
"07/07/2022","09:14:00","7997","3","3.5","0.007","-0.06","97.3","97.3","97.3","60.3","60.2","60.2","0.50","0.40","0.46","0","0","1"
"07/07/2022","09:14:00","8146","14","2.9","0.005","-0.13","99.9","99.2","99.6","60.2","60.2","60.2","0.50","0.50","0.49","0","0","1"
"07/07/2022","09:14:00","8296","10","3.6","0.004","-0.11","101.7","101.8","101.8","60.3","60.2","60.2","0.70","0.40","0.55","0","0","1"
"07/07/2022","09:14:00","8445","355","5.2","0.014","-0.06","99.0","97.6","98.3","60.3","60.2","60.2","0.60","0.30","0.47","0","0","1"
"07/07/2022","09:14:00","8595","356","5.7","0.003","-0.03","91.5","86.8","89.7","60.3","60.2","60.2","0.60","0.40","0.49","0","0","1"
"07/07/2022","09:14:00","8744","358","4.0","0.011","0.01","84.9","83.7","84.4","60.2","60.1","60.2","0.40","0.60","0.51","0","0","1"
"07/07/2022","09:14:00","8894","343","3.3","0.008","-0.01","88.5","87.1","87.9","60.3","60.1","60.2","0.30","0.50","0.36","0","0","1"
"07/07/2022","09:14:00","9043","349","3.6","0.003","0.09","95.4","94.0","94.8","60.2","60.2","60.2","0.20","0.40","0.31","0","0","1"
"07/07/2022","09:14:00","9192","353","3.6","0.002","0.14","92.8","91.4","92.1","60.2","60.1","60.2","0.20","0.40","0.29","0","0","1"
"07/07/2022","09:14:00","9342","354","3.9","0.002","0.12","93.9","95.1","94.6","60.2","60.1","60.2","0.30","0.40","0.30","0","0","1"
"07/07/2022","09:14:00","9491","350","4.0","0.002","0.06","88.5","87.4","88.0","60.3","60.1","60.2","0.20","0.50","0.37","0","0","1"
"07/07/2022","09:14:00","9641","341","2.9","0.009","0.02","84.7","87.2","86.1","60.3","60.2","60.2","0.40","0.50","0.45","0","0","1"
"07/07/2022","09:14:00","9790","343","2.4","0.003","0.15","90.9","86.2","89.2","60.3","60.2","60.2","0.30","0.40","0.38","0","0","1"
"07/07/2022","09:14:00","9940","342","2.5","0.000","0.14","94.2","85.3","91.7","60.3","60.2","60.2","0.30","0.40","0.38","0","0","1"
"07/07/2022","09:14:00","10089","359","1.9","0.006","0.06","90.6","80.4","88.0","60.3","60.2","60.2","0.50","0.40","0.47","0","0","1"
"07/07/2022","09:14:00","10239","21","2.1","0.005","0.07","81.1","78.8","80.1","60.4","60.2","60.3","0.40","0.30","0.39","0","0","1"
"07/07/2022","09:14:00","10388","56","3.0","0.012","0.04","78.4","77.5","78.0","60.5","60.2","60.3","0.40","0.40","0.38","0","0","1"
"07/07/2022","09:14:00","10537","53","4.1","0.007","-0.02","80.8","78.1","79.7","60.4","60.1","60.3","0.40","0.70","0.51","0","0","1"
